lens,universe,scope,segment,exclude_symbol,num_cells,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_open_notional_ratio,liquidation_events,clamped_entries,skipped_cell_busy,skipped_notional,reentry
baseline,9,4h,oos_warm,,9,258,0.562015503875969,1.2034314120346272,0.07235922231323695,5,0.04916787996269937,3.427839819273697,0,40,121,0,band
baseline,9,all,full,,36,13793,0.5839193793953454,4567361263759.79,0.23533077082508286,12,0.11861381649176808,5.000000000000001,0,9555,5816,172,band
baseline,9,all,full,BNB,32,12444,0.5842976534876245,341343417663.3259,0.21127344225706973,11,0.10787767705221259,5.000000000000001,0,8535,5287,106,band
baseline,9,all,full,BTC,32,12526,0.5827079674277503,431652696527.651,0.2517365782114941,12,0.1121941204314035,5.000000000000001,0,8537,5255,112,band
baseline,9,all,full,DOGE,32,12132,0.5816023738872403,84489008608.70364,0.19333763593695746,12,0.11861381649176805,5.000000000000001,0,8436,5070,132,band
baseline,9,all,full,ETH,32,12358,0.5835895776015536,283765611843.42004,0.21785573583589035,11,0.10916106216065923,5.000000000000001,0,8515,5261,122,band
baseline,9,all,full,LINK,32,12120,0.585973597359736,199036412622.69504,0.20047636015840095,11,0.10875192167645412,5.000000000000001,0,8464,5087,123,band
baseline,9,all,full,LTC,32,12239,0.5868126480921644,427511862406.6922,0.22836230749781006,12,0.11086076708629629,5.000000000000001,0,8461,5124,116,band
baseline,9,all,full,SOL,32,11866,0.5864655317714478,96351498062.48929,0.2038995316987556,12,0.11861381649176808,5.000000000000001,0,8366,5005,101,band
baseline,9,all,full,TRX,32,12702,0.5854983467170525,701890615403.3789,0.22533384491584688,12,0.11086243193941048,5.000000000000001,0,8745,5417,122,band
baseline,9,all,full,XRP,32,12243,0.5813117699910153,100925336183.22171,0.20104886315207302,12,0.11861381649176805,5.000000000000001,0,8458,5131,90,band
baseline,9,all,oos_warm,,36,4616,0.5556759098786829,582.4414974246484,0.18767144359174168,12,0.11086074947122122,5.000000000000001,0,3571,2038,96,band
baseline,9,all,oos_warm,BNB,32,4239,0.5572068884170795,420.10545439166185,0.1842165562147535,11,0.10109103552432645,5.0,0,3262,1893,62,band
baseline,9,all,oos_warm,BTC,32,4236,0.556657223796034,439.47878640885295,0.17920810580769397,12,0.11219412043140353,5.000000000000001,0,3245,1883,77,band
baseline,9,all,oos_warm,DOGE,32,3977,0.5551923560472718,257.10840371153205,0.16964477824442098,11,0.10503497796465498,5.000000000000001,0,3105,1734,72,band
baseline,9,all,oos_warm,ETH,32,4066,0.5499262174126907,199.31040229392516,0.19660963262899459,10,0.09621518477328186,5.000000000000001,0,3139,1825,71,band
baseline,9,all,oos_warm,LINK,32,4031,0.5566856859340115,295.51820323196284,0.1632810893272931,11,0.10010223171785175,5.000000000000001,0,3142,1777,65,band
baseline,9,all,oos_warm,LTC,32,4065,0.5608856088560885,406.8225133627087,0.15580318582932576,12,0.11086076708629626,5.0,0,3132,1759,57,band
baseline,9,all,oos_warm,SOL,32,3959,0.5541803485728719,197.34065880869707,0.19638897352821044,11,0.10695089618905249,5.000000000000001,0,3076,1749,48,band
baseline,9,all,oos_warm,TRX,32,4380,0.5577625570776256,492.094637022932,0.1775638833912272,12,0.11086243193941044,5.000000000000001,0,3371,1968,67,band
baseline,9,all,oos_warm,XRP,32,4095,0.5582417582417583,357.4858641886705,0.18283279086339918,12,0.11086074947122124,5.000000000000001,0,3161,1773,48,band
pen_5bp,12,15m,full,,12,11437,0.5631721605316079,24829793.993460707,0.27107107172615963,6,0.060508694619024576,5.0,0,9545,4539,9,band
pen_5bp,12,15m,oos_warm,,12,3738,0.5353130016051364,19.393138842334544,0.1819966758391823,6,0.04398442441039779,5.0,0,3447,1464,1,band
pen_5bp,12,1h,full,,12,3252,0.5790282902829028,7756.569382563761,0.11254058722594121,6,0.059594401308271275,5.0,0,1461,1405,0,band
pen_5bp,12,1h,oos_warm,,12,1112,0.5386690647482014,6.525164926303488,0.10775590255145336,6,0.05959440130827127,4.817277512557706,0,608,508,0,band
pen_5bp,12,2h,full,,12,1639,0.5906040268456376,275.6980240482479,0.11558936650246963,6,0.05948415681179408,3.6839145057413965,0,381,673,0,band
