symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,retap_mode,position_mode,portfolio_leverage,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage
SOL/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1689379200000,1752507900000,70144,754,0.5079575596816976,0.8782298566728896,0.13549469840628578,16.51184581476274,1.161835587353925,0.26989389920424406,0.7619328226281673,1697,1293,1.0
SOL/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,multi,3.0,baseline,0,1689379200000,1752507900000,70144,797,0.5006273525721455,1.160689085325871,0.17951776837121453,15.732175472778012,1.1388816947287559,0.25156838143036386,0.7619328226281673,1697,1293,1.0
SOL/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1752508800000,1784072700000,35072,355,0.504225352112676,0.18432190020113068,0.1538582828633276,10.617576384250802,1.1116755648279941,0.2605633802816901,0.7805755395683454,834,651,1.0
SOL/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,multi,3.0,baseline,0,1752508800000,1784072700000,35072,375,0.49333333333333335,0.23699977273532094,0.19422226504562107,9.722469940975529,1.090041653636772,0.23333333333333334,0.7805755395683454,834,651,1.0
SOL/USDT:USDT,1h,full,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1689379200000,1784070000000,26304,258,0.4573643410852713,0.12193877156941361,0.11567873428537986,4.124809117730647,1.0815293158041184,0.1434108527131783,0.753968253968254,630,475,1.0
SOL/USDT:USDT,1h,full,0,zone_limit,1.5,2.0,every_tap,multi,3.0,baseline,0,1689379200000,1784070000000,26304,285,0.4456140350877193,0.06684343430100234,0.16206280848921487,2.2901909882681544,1.0363578708983363,0.11403508771929824,0.753968253968254,630,475,1.0
SOL/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1689379200000,1752505200000,17536,177,0.4689265536723164,0.14849040657690912,0.11567873428537986,6.785090045085389,1.1571648064266704,0.17231638418079095,0.7922705314009661,414,328,1.0
SOL/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,multi,3.0,baseline,0,1689379200000,1752505200000,17536,195,0.4717948717948718,0.18798111452496397,0.11888243255506295,7.202199724148732,1.1655296844828844,0.1794871794871795,0.7922705314009661,414,328,1.0
SOL/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1752508800000,1784070000000,8768,71,0.39436619718309857,-0.0840189793175503,0.13562524392664108,-9.771514633874265,0.8049534081482249,-0.014084507042253521,0.6666666666666666,198,132,1.0
SOL/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,multi,3.0,baseline,0,1752508800000,1784070000000,8768,79,0.35443037974683544,-0.1512133378219485,0.20538686150046842,-15.689211897012173,0.7158445103117611,-0.11392405063291139,0.6666666666666666,198,132,1.0
SOL/USDT:USDT,4h,full,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1689379200000,1784059200000,6576,70,0.5,0.1468762751188504,0.0660060899627194,7.631414369153632,1.3807517653423256,0.25,0.813953488372093,129,105,1.0
SOL/USDT:USDT,4h,full,0,zone_limit,1.5,2.0,every_tap,multi,3.0,baseline,0,1689379200000,1784059200000,6576,73,0.5205479452054794,0.20077999271973967,0.0660060899627194,9.679617217036673,1.513250495453867,0.3013698630136986,0.813953488372093,129,105,1.0
SOL/USDT:USDT,4h,is,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1689379200000,1752494400000,4384,40,0.475,0.05698185012372069,0.0660060899627194,5.446262140767069,1.249928014228049,0.1875,0.7746478873239436,71,55,1.0
SOL/USDT:USDT,4h,is,0,zone_limit,1.5,2.0,every_tap,multi,3.0,baseline,0,1689379200000,1752494400000,4384,41,0.4878048780487805,0.07221497897897643,0.0660060899627194,6.618889692933682,1.3137493261915663,0.21951219512195122,0.7746478873239436,71,55,1.0
SOL/USDT:USDT,4h,oos,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1752508800000,1784059200000,2192,20,0.5,0.03531552138429288,0.0210716298251033,6.748538204014965,1.3310687876442067,0.25,0.8333333333333334,42,35,1.0
SOL/USDT:USDT,4h,oos,0,zone_limit,1.5,2.0,every_tap,multi,3.0,baseline,0,1752508800000,1784059200000,2192,22,0.5454545454545454,0.06857561458260825,0.0210716298251033,11.479147980971895,1.6378642878514436,0.36363636363636365,0.8333333333333334,42,35,1.0
