scope,unit,offset_ms,segment,bin,bins,lo,hi,n,stops,stop_rate,mean_net_r,net_r_stderr
self,usdt,-43200000,oos_warm,2,5,0.008108764887,0.02606950067,2279,1284,0.5634050022,-0.03178365369,0.02716754395
self,usdt,-43200000,oos_warm,3,5,0.02606950067,0.05660288557,2412,1363,0.5650912106,-0.02000256705,0.02622488631
self,usdt,-43200000,oos_warm,4,5,0.05660288557,0.669359386,2378,1423,0.5984020185,-0.08874250358,0.02595344082
self,usdt,-21600000,is,0,5,-0.4547338784,-0.003798136348,2997,1754,0.5852519186,-0.08252135129,0.02342987142
self,usdt,-21600000,is,1,5,-0.003798136348,0.009625398368,2996,1724,0.5754339119,-0.06121521586,0.02355040042
self,usdt,-21600000,is,2,5,0.009625398368,0.02387688123,2995,1733,0.5786310518,-0.05864175572,0.02345653936
self,usdt,-21600000,is,3,5,0.02387688123,0.04854556322,2997,1688,0.5632298966,-0.004793243108,0.02343462023
self,usdt,-21600000,is,4,5,0.04854556322,0.5500711799,2997,1748,0.5832499166,-0.04460803773,0.02325317635
self,usdt,-21600000,oos_warm,0,5,-0.4547338784,-0.003798136348,960,539,0.5614583333,-0.03407502084,0.0418990707
self,usdt,-21600000,oos_warm,1,5,-0.003798136348,0.009625398368,1824,1025,0.5619517544,-0.04005532046,0.03048148932
self,usdt,-21600000,oos_warm,2,5,0.009625398368,0.02387688123,2307,1303,0.5648027742,-0.03862878098,0.02701320767
self,usdt,-21600000,oos_warm,3,5,0.02387688123,0.04854556322,2493,1398,0.5607701564,-0.009914542722,0.02585996575
self,usdt,-21600000,oos_warm,4,5,0.04854556322,0.5500711799,2491,1551,0.6226415094,-0.1511353847,0.02507064764
self,usdt,-7200000,is,0,5,-0.4640074074,0.001554871071,2997,1753,0.5849182516,-0.07944010253,0.02342772218
self,usdt,-7200000,is,1,5,0.001554871071,0.00918185804,2996,1714,0.5720961282,-0.05278595714,0.0235597336
self,usdt,-7200000,is,2,5,0.00918185804,0.01864313185,2996,1737,0.5797730307,-0.06130007635,0.02343242535
self,usdt,-7200000,is,3,5,0.01864313185,0.03553613648,2994,1683,0.5621242485,-0.003164566451,0.02348285189
self,usdt,-7200000,is,4,5,0.03553613648,0.528968513,2999,1760,0.5868622874,-0.05503385062,0.02322266835
self,usdt,-7200000,oos_warm,0,5,-0.4640074074,0.001554871071,856,495,0.578271028,-0.07502065458,0.04411049902
self,usdt,-7200000,oos_warm,1,5,0.001554871071,0.00918185804,1765,980,0.5552407932,-0.02204873613,0.03103595106
self,usdt,-7200000,oos_warm,2,5,0.00918185804,0.01864313185,2369,1331,0.561840439,-0.02824658262,0.02663450931
self,usdt,-7200000,oos_warm,3,5,0.01864313185,0.03553613648,2487,1407,0.5657418577,-0.02542327753,0.0258787988
self,usdt,-7200000,oos_warm,4,5,0.03553613648,0.528968513,2598,1603,0.617013087,-0.1396486434,0.02465838728
self,usdt,-3600000,is,0,5,-0.4687241912,0.001456225943,2997,1763,0.5882549216,-0.08635054655,0.02337527869
self,usdt,-3600000,is,1,5,0.001456225943,0.007082163356,2996,1713,0.5717623498,-0.05221506602,0.02356195498
self,usdt,-3600000,is,2,5,0.007082163356,0.01433569174,2996,1673,0.558411215,-0.004729831348,0.02355544338
self,usdt,-3600000,is,3,5,0.01433569174,0.02841764539,2996,1743,0.5817757009,-0.05552393703,0.02336464197
self,usdt,-3600000,is,4,5,0.02841764539,0.3170411587,2997,1755,0.5855855856,-0.05293819077,0.02326626771
self,usdt,-3600000,oos_warm,0,5,-0.4687241912,0.001456225943,806,469,0.5818858561,-0.0801104837,0.04529429761
self,usdt,-3600000,oos_warm,1,5,0.001456225943,0.007082163356,1601,868,0.5421611493,0.01150150844,0.03266578684
self,usdt,-3600000,oos_warm,2,5,0.007082163356,0.01433569174,2382,1343,0.5638119228,-0.0357637396,0.02660554467
self,usdt,-3600000,oos_warm,3,5,0.01433569174,0.02841764539,2641,1507,0.5706171905,-0.03786294172,0.02504682931
self,usdt,-3600000,oos_warm,4,5,0.02841764539,0.3170411587,2645,1629,0.615879017,-0.1378995573,0.02447686304
self,usdt,-1800000,is,0,5,-0.4608434737,0.001136214938,2995,1710,0.570951586,-0.04034174026,0.02350568855
self,usdt,-1800000,is,1,5,0.001136214938,0.005245644134,2998,1732,0.577718479,-0.06704704937,0.02352727613
self,usdt,-1800000,is,2,5,0.005245644134,0.01078365576,2996,1724,0.5754339119,-0.04879313986,0.02344689427
self,usdt,-1800000,is,3,5,0.01078365576,0.02175986357,2996,1707,0.5697596796,-0.02488035226,0.02343655929
self,usdt,-1800000,is,4,5,0.02175986357,0.3048737049,2997,1774,0.5919252586,-0.07068689527,0.02322129221
self,usdt,-1800000,oos_warm,0,5,-0.4608434737,0.001136214938,863,452,0.5237543453,0.06953477634,0.0444707648
self,usdt,-1800000,oos_warm,1,5,0.001136214938,0.005245644134,1545,865,0.5598705502,-0.03475412479,0.03313236549
self,usdt,-1800000,oos_warm,2,5,0.005245644134,0.01078365576,2309,1279,0.5539194456,-0.005990267746,0.02702361002
self,usdt,-1800000,oos_warm,3,5,0.01078365576,0.02175986357,2595,1499,0.5776493256,-0.05848732669,0.02525195289
self,usdt,-1800000,oos_warm,4,5,0.02175986357,0.3048737049,2763,1721,0.622873688,-0.158086127,0.02386790423
self,usdt,-300000,is,0,5,-0.3317634463,-0.0001638474263,2997,1699,0.5669002336,-0.02381273268,0.02345989911
self,usdt,-300000,is,1,5,-0.0001638474263,0.001548955217,2995,1747,0.5833055092,-0.08035916601,0.02348920642
self,usdt,-300000,is,2,5,0.001548955217,0.003900501551,2997,1720,0.5739072406,-0.0480710011,0.0234974342
self,usdt,-300000,is,3,5,0.003900501551,0.009262904711,2996,1692,0.564753004,-0.01395832706,0.02349193859
self,usdt,-300000,is,4,5,0.009262904711,0.2707220614,2997,1789,0.5969302636,-0.08557710155,0.02317950156
self,usdt,-300000,oos_warm,0,5,-0.3317634463,-0.0001638474263,1392,676,0.4856321839,0.1808448239,0.03485797869
self,usdt,-300000,oos_warm,1,5,-0.0001638474263,0.001548955217,1234,688,0.5575364668,-0.02493749335,0.03705057155
