symbol,timeframe,segment,side,trigger_time,broke,r_multiple,trend_dev,volume_pctl,vol_balance,rsi_slope_5_3,rsi_slope_10_5,rsi_slope_14_5,zone_width_atr,freshness_bars,prior_taps,approach_mom,tap_rsi
ETH/USDT:USDT,15m,is,long,1744542900000,False,1.5,0.00727724069744573,0.7260692464358453,0.12589117696637203,-5.495454578792369,1.1601914539765161,0.2751489565108898,0.6863080247076877,90.0,0.0,-1.3289290909637013,46.56072577556924
ETH/USDT:USDT,15m,is,long,1744550100000,True,-1.0,0.0010882792395561225,0.7270875763747454,0.12589117696637203,1.9530086020593274,-5.460780427005766,-4.3542817957873154,0.6133755800050265,98.0,1.0,0.5831476253435873,42.681582694778754
ETH/USDT:USDT,15m,is,long,1744551900000,False,1.5,-0.01226472551389024,0.924643584521385,0.20123273096235877,-2.758357263295572,-5.404013310798227,-6.24469633821451,2.9717182943868505,177.0,5.0,-2.3846173758133657,28.153614334151783
ETH/USDT:USDT,15m,is,long,1744572600000,False,1.5,0.010418608106582017,0.9796334012219959,0.14048589203932602,-7.447189032325696,7.869203949861685,9.281232251152609,4.214195696434367,200.0,6.0,-1.3819586954447207,56.8665965302681
ETH/USDT:USDT,15m,is,long,1744644600000,False,1.5,0.017652405292603035,0.8268839103869654,0.15521233663134096,-0.38149099254646757,-5.261242274707001,-6.302542430483953,1.0513895961615565,21.0,0.0,-0.5751857093900961,44.19606656934767
ETH/USDT:USDT,15m,is,long,1744780500000,False,1.5,-0.016371926083889266,0.9256619144602851,0.20123273096235877,-2.2057542260124023,-3.826240408064564,-0.2912486783669124,3.424457525624447,431.0,7.0,-0.4033980615488224,47.45509653083161
ETH/USDT:USDT,15m,is,long,1744899300000,True,-1.0,-0.006400007179555134,0.3910386965376782,0.4916112675687561,-6.539069607273014,-0.44342353690995395,-0.23781524682225808,0.8514853489732285,35.0,0.0,-2.003848913131305,39.378976437479935
ETH/USDT:USDT,15m,is,long,1744935300000,False,1.5,-0.007881188430434172,0.879837067209776,0.07157545392211788,0.07887947045637844,1.1630177801388797,1.2004992303834996,2.3234290573246663,32.0,1.0,-0.663836873521343,42.1108303112291
ETH/USDT:USDT,15m,is,long,1745133300000,False,1.5,-0.00013108837507358473,0.9633401221995926,0.1268114345068554,-7.124320149459479,-5.836784753508226,-4.750557653106085,6.989700775852441,252.0,7.0,-2.441465638484481,31.45445353241955
ETH/USDT:USDT,15m,is,long,1745230500000,True,-1.0,0.019691963078709795,0.7403258655804481,0.06629313160858077,-7.911922198987803,-6.175055746369175,-6.2923702685376455,1.1972195068890639,18.0,0.0,-1.1840632485716134,49.97808677508069
ETH/USDT:USDT,15m,is,long,1745254800000,True,-1.0,-0.013836407474937862,0.9562118126272913,0.07499723465899236,-7.272336401582315,-1.4459288381583093,0.07174284700767686,1.9749701757044305,387.0,11.0,-3.9186071607184427,28.21967728774358
ETH/USDT:USDT,15m,is,long,1745480700000,True,-1.0,0.0066363095235721925,0.8879837067209776,0.19155602907117397,-1.3626642486603444,1.7047304480366279,0.46165829777157086,1.5216006451573274,122.0,0.0,-1.428130891240531,36.11938450824104
ETH/USDT:USDT,15m,is,long,1745758800000,False,1.5,-0.0016272789409299548,0.37372708757637474,0.26797192423151894,-4.189087725493138,-4.949498281121031,-3.4223061360869735,1.7518121182898623,87.0,1.0,-1.626567988842927,36.694773489289595
ETH/USDT:USDT,15m,is,long,1745766000000,False,1.5,-0.0013485100252070836,0.37474541751527496,0.26797192423151894,5.558842690223749,-1.177486063850445,-2.3141612649628627,1.5137900401443056,95.0,2.0,0.5286471175939321,43.09989836309666
ETH/USDT:USDT,15m,is,long,1745791200000,True,-1.0,0.002184646252360034,0.3757637474541752,0.26797192423151894,2.5342513144493637,-2.692197167830024,0.14642822522476706,2.0098760759241046,123.0,4.0,0.6613616051849609,52.05448212547059
ETH/USDT:USDT,15m,is,long,1745798400000,True,-1.0,-0.0041256313207818085,0.9317718940936863,0.3122927724748424,1.9481260880206648,-3.5428289361695704,-4.677483858414199,3.1972804555249423,229.0,0.0,0.27622293352269706,42.20047793469584
ETH/USDT:USDT,15m,is,long,1745853300000,True,-1.0,-0.011726606519991911,0.20061099796334012,0.8063433513287201,-2.0971453009025183,-9.511953429690756,-8.869285279708002,1.9427217945985997,27.0,0.0,-1.781543599563189,32.11132262688922
