floor,hold,threshold,segment,num_trades,mean_net_r,se_net_r,mean_cost_r,mean_gross_r,median_stop_width
0.015,24,15.0,oos_warm,281,0.06117630409660309,0.18593614515679746,0.05476488911018697,0.11594119320679006,0.019041306231713434
0.015,4,20.0,full,1980,0.022252410062391405,0.03402098204575898,0.05265943848515849,0.0749118485475499,0.02025245460678829
0.015,4,20.0,is,1485,0.05609733348495038,0.03289923270993785,0.0516567600710539,0.10775409355600428,0.02090198000387258
0.015,4,20.0,oos_warm,495,-0.07928236020528538,0.09362021187030402,0.05566747372747226,-0.023614886477813124,0.018703944155061013
0.015,8,20.0,full,1980,0.0617822412997262,0.037635412405657764,0.05298601112511678,0.11476825242484298,0.02025245460678829
0.015,8,20.0,is,1485,0.10221372400530457,0.03743060838300227,0.05213096689324381,0.15434469089854838,0.02090198000387258
0.015,8,20.0,oos_warm,495,-0.059512206817009174,0.10015495548309689,0.05555114382073573,-0.003961062996273447,0.018703944155061013
0.015,12,20.0,full,1980,0.09973343212500493,0.0426415465469186,0.05315202183966005,0.152885453964665,0.02025245460678829
0.015,12,20.0,is,1485,0.1394838794377846,0.0437144067144138,0.05236501716756614,0.19184889660535073,0.02090198000387258
0.015,12,20.0,oos_warm,495,-0.019517909813334317,0.10898098957170853,0.05551303585594173,0.03599512604260741,0.018703944155061013
0.015,16,20.0,full,1980,0.10209158179033102,0.04500156371254705,0.05350222684091672,0.15559380863124775,0.02025245460678829
0.015,16,20.0,is,1485,0.14332305058485487,0.046950492293668024,0.05277523680410077,0.19609828738895563,0.02090198000387258
0.015,16,20.0,oos_warm,495,-0.021602824593240866,0.11200105851503649,0.05568319695136431,0.034080372358123445,0.018703944155061013
0.015,24,20.0,full,1980,0.06772360353137959,0.04554482218135969,0.05376484424874348,0.12148844778012308,0.02025245460678829
0.015,24,20.0,is,1485,0.10233208899370054,0.0471255329803304,0.05318828952330387,0.1555203785170044,0.02090198000387258
0.015,24,20.0,oos_warm,495,-0.03610185285558394,0.11487502151567924,0.055494508425062435,0.019392655569478494,0.018703944155061013
0.015,4,25.0,full,3095,0.07277382442324143,0.03474958953779706,0.052728410635886194,0.1255022350591276,0.020285907094073387
0.015,4,25.0,is,2384,0.08473737057729992,0.029489990963594972,0.051748691961253465,0.1364860625385534,0.02088855315333384
0.015,4,25.0,oos_warm,711,0.03265976812046324,0.1145258753759748,0.05601343077698972,0.08867319889745295,0.018703944155061013
0.015,8,25.0,full,3095,0.11883267621178614,0.03911432788440826,0.05295648241725249,0.17178915862903862,0.020285907094073387
0.015,8,25.0,is,2384,0.13745555476968846,0.03612436370036706,0.05205498697741334,0.1895105417471018,0.02088855315333384
0.015,8,25.0,oos_warm,711,0.05638971913437424,0.11970264806528524,0.05597921818177617,0.11236893731615041,0.018703944155061013
0.015,12,25.0,full,3095,0.1441631592710668,0.04266656560923041,0.05314477794082696,0.19730793721189377,0.020285907094073387
0.015,12,25.0,is,2384,0.15756924296221092,0.04082844481118719,0.05236787926975225,0.20993712223196317,0.02088855315333384
0.015,12,25.0,oos_warm,711,0.09921224011538882,0.12557484774456473,0.055749737760576026,0.15496197787596483,0.018703944155061013
0.015,16,25.0,full,3095,0.15762830751866072,0.045167582478974296,0.053212232565324626,0.21084054008398534,0.020285907094073387
0.015,16,25.0,is,2384,0.17349842824806697,0.04520031327869657,0.0524216005150166,0.22592002876308356,0.02088855315333384
0.015,16,25.0,oos_warm,711,0.1044154132585994,0.1253075965412402,0.05586324073400825,0.16027865399260766,0.018703944155061013
0.015,24,25.0,full,3095,0.13374553519871002,0.04503032084023551,0.053456514980423135,0.18720205017913316,0.020285907094073387
0.015,24,25.0,is,2384,0.1486527196272909,0.04378489080010499,0.05280704964338765,0.20145976927067855,0.02088855315333384
0.015,24,25.0,oos_warm,711,0.08376138937910908,0.1299430401925526,0.05563418778421019,0.13939557716331927,0.018703944155061013
0.02,4,15.0,full,521,0.14760803010043635,0.09165416270087667,0.039958549411492905,0.18756657951192926,0.026587644347963176
0.02,4,15.0,is,402,0.12380178593290604,0.0543308002343024,0.0394126010691359,0.16321438700204194,0.026931418259190334
0.02,4,15.0,oos_warm,119,0.22802912384284935,0.3579344826525667,0.04180284549239627,0.2698319693352456,0.0249060844877191
0.02,8,15.0,full,521,0.17442362192119967,0.097373344480215,0.04026594893763419,0.21468957085883386,0.026587644347963176
0.02,8,15.0,is,402,0.17173061633735712,0.060850705195693675,0.03992890801158869,0.2116595243489458,0.026931418259190334
