segment,axis,bucket,arm,category,num_trades,trade_share,net_r_sum,gain_share,loss_share,win_rate
full,timeframe,2h,2_교차,트리거 전에 이미 손절,102,0.02361111111111111,-111.9826644235081,0.0,0.040481331792273506,0.0
full,timeframe,2h,2_교차,아직 들고 있음,2072,0.47962962962962963,525.0870768079382,0.6148908519490591,0.3815455889647567,0.5188223938223938
full,timeframe,2h,2_교차,트리거 안 옴,1736,0.40185185185185185,-1208.3968408486771,0.1518945808332224,0.5779730792429698,0.15380184331797234
full,timeframe,2h,C_고정오프셋,트리거 전에 이미 익절,132,0.030555555555555555,186.3830680445114,0.07250978373163507,0.0,1.0
full,timeframe,2h,C_고정오프셋,트리거 전에 이미 손절,162,0.0375,-179.58960589503334,0.0,0.06492099880018852,0.0
full,timeframe,2h,C_고정오프셋,아직 들고 있음,2967,0.6868055555555556,840.3660601218534,0.9002160092490061,0.5327003358483459,0.5291540276373441
full,timeframe,2h,C_고정오프셋,트리거 안 옴,1059,0.24513888888888888,-1042.9846193808598,0.027274207019357767,0.4023786653514644,0.047214353163361665
full,timeframe,4h,1_봉마감,트리거 전에 이미 익절,284,0.13806514341273698,419.2669584990705,0.3382583589153032,0.0,1.0
full,timeframe,4h,1_봉마감,트리거 전에 이미 손절,4,0.0019445794846864365,-4.125324359493795,0.0,0.0032083680571902574,0.0
full,timeframe,4h,1_봉마감,아직 들고 있음,614,0.298492950899368,226.52490980408177,0.4096062503193031,0.21867828335770542,0.5570032573289903
full,timeframe,4h,1_봉마감,트리거 안 옴,1155,0.5614973262032086,-687.9806577596466,0.25213539076539465,0.7781133485851037,0.18441558441558442
full,timeframe,4h,2_교차,트리거 전에 이미 익절,184,0.08945065629557608,271.16894158036257,0.21877507709202543,0.0,1.0
full,timeframe,4h,2_교차,트리거 전에 이미 손절,44,0.0213903743315508,-47.26259970104918,0.0,0.03675730729673406,0.0
full,timeframe,4h,2_교차,아직 들고 있음,950,0.46183762761302866,289.9899861455106,0.6060370822134665,0.3586753671008701,0.5336842105263158
