scope,segment,multiple,reason,count,priced,hypo_total_r,hypo_mean_r,hypo_win_rate,hypo_return_sum,actual_trades,actual_total_r,actual_mean_r,actual_win_rate,actual_return_sum
1h,oos,3.0,notional,146,133,17.920132116226664,0.13473783546035087,0.5112781954887218,0.4294856512138293,641,145.9700425669256,0.2277223752994159,0.5507020280811232,3.2826347804796625
1h,oos,5.0,cell_busy,141,135,9.431227312865932,0.06986094305826616,0.4888888888888889,0.4070891936613945,643,148.4280868567174,0.23083683803533034,0.552099533437014,5.4675191966849
1h,oos,5.0,notional,144,131,15.462087826434889,0.11803120478194572,0.5038167938931297,0.6343689199329782,643,148.4280868567174,0.23083683803533034,0.552099533437014,5.4675191966849
both,full,1.0,cell_busy,1381,1261,93.97659576710285,0.07452545263053359,0.5067406819984139,0.7762204514108497,7335,1836.6885501009156,0.2504006203273232,0.5743694614860259,12.46161351382016
both,full,1.0,notional,4021,3228,803.4902314513994,0.24891271110638147,0.5718711276332095,5.894091878173994,7335,1836.6885501009156,0.2504006203273232,0.5743694614860259,12.46161351382016
both,full,2.0,cell_busy,1388,1269,107.23196697435003,0.08450115600815605,0.5106382978723404,1.735954978681377,7352,1870.9338486916483,0.25447957680789557,0.5758977149075082,24.899173397667386
both,full,2.0,notional,3984,3203,755.9895616534187,0.23602546414405828,0.5669684670621292,11.175682482543298,7352,1870.9338486916483,0.25447957680789557,0.5758977149075082,24.899173397667386
both,full,3.0,cell_busy,1385,1263,97.19417920965601,0.07695501125071735,0.5075217735550277,2.3533549125572546,7367,1860.321620934344,0.2525209204471758,0.575268087416859,37.33546153277496
both,full,3.0,notional,3976,3194,776.6395771754177,0.24315578496412577,0.5695053224796494,17.275040238348076,7367,1860.321620934344,0.2525209204471758,0.575268087416859,37.33546153277496
both,full,5.0,cell_busy,1387,1263,98.7175655447522,0.07816117620328757,0.5083135391923991,4.110836886660242,7366,1869.7758424469284,0.2538386970468271,0.5757534618517512,62.47294309088299
both,full,5.0,notional,3980,3195,765.6619693277363,0.23964380886627115,0.568075117370892,27.968153253949502,7366,1869.7758424469284,0.2538386970468271,0.5757534618517512,62.47294309088299
both,is,1.0,cell_busy,938,870,73.93704353992132,0.08498510751715094,0.506896551724138,0.5849144659178729,5024,1483.1035983547229,0.29520374171073305,0.5881767515923567,10.068303637796838
both,is,1.0,notional,2392,2020,576.4165182736905,0.28535471201667845,0.5821782178217821,4.286733756737555,5024,1483.1035983547229,0.29520374171073305,0.5881767515923567,10.068303637796838
both,is,2.0,cell_busy,946,879,83.28403174817277,0.09474861404797812,0.5108077360637088,1.3153148945160447,5050,1510.905599383891,0.2991892276007705,0.5897029702970297,20.11288509745295
both,is,2.0,notional,2347,1985,539.2675290362699,0.2716712992626045,0.5768261964735516,8.068591574826282,5050,1510.905599383891,0.2991892276007705,0.5897029702970297,20.11288509745295
both,is,3.0,cell_busy,944,875,73.22451449123939,0.08368515941855931,0.5062857142857143,1.7399348091639273,5064,1492.0381637872879,0.2946362882676319,0.5880726698262243,30.178796542526374
both,is,3.0,notional,2336,1975,568.1944818898069,0.2876934085518009,0.5827848101265822,12.729101248598795,5064,1492.0381637872879,0.2946362882676319,0.5880726698262243,30.178796542526374
both,is,5.0,cell_busy,945,875,75.27655487351363,0.08603034842687272,0.5074285714285715,3.036781483627664,5047,1510.5470881133513,0.29929603489466045,0.589855359619576,50.469368119205754
both,is,5.0,notional,2359,1992,547.6335171814691,0.2749164242878861,0.5778112449799196,20.48948221635635,5047,1510.5470881133513,0.29929603489466045,0.589855359619576,50.469368119205754
both,oos_warm,1.0,cell_busy,444,392,24.127466441474862,0.06154965928947669,0.5102040816326531,0.2031903509389249,2301,363.08685794239113,0.15779524465119127,0.546284224250326,2.4007019783738484
both,oos_warm,1.0,notional,1640,1216,214.5592964896323,0.17644678987634235,0.5501644736842105,1.5368092139327472,2301,363.08685794239113,0.15779524465119127,0.546284224250326,2.4007019783738484
both,oos_warm,2.0,cell_busy,443,389,24.97903741310491,0.06421346378690208,0.5115681233933161,0.4387877576986267,2316,355.19888346160644,0.15336739354991644,0.5444732297063903,4.758805816073703
both,oos_warm,2.0,notional,1626,1204,221.59569999878693,0.18404958471660043,0.553156146179402,3.134640782295199,2316,355.19888346160644,0.15336739354991644,0.5444732297063903,4.758805816073703
both,oos_warm,3.0,cell_busy,441,389,24.98680619504621,0.06423343494870491,0.5115681233933161,0.654807545958594,2318,357.8258382949668,0.1543683512920478,0.5448662640207075,7.131076323759126
both,oos_warm,3.0,notional,1619,1202,218.9609763834853,0.18216387386313254,0.5524126455906821,4.614122162290715,2318,357.8258382949668,0.1543683512920478,0.5448662640207075,7.131076323759126
both,oos_warm,5.0,cell_busy,446,394,26.898242025390445,0.06826964981063564,0.5126903553299492,1.0789658902306347,2315,364.614473200536,0.1575008523544432,0.5460043196544276,11.964745623453432
