symbol,timeframe,segment,arm,lens,num_candidates,num_trades,win_rate,total_return,max_drawdown
XRP/USDT:USDT,1h,full,freeze,baseline,466,311,0.617363344051447,2.22575120770464,0.1042630742657523
XRP/USDT:USDT,1h,full,band,baseline,444,285,0.6280701754385964,2.01509937450823,0.0990836751184678
XRP/USDT:USDT,1h,is,off,baseline,189,153,0.673202614379085,1.1599659258078006,0.0346411745061265
XRP/USDT:USDT,1h,is,freeze,baseline,297,203,0.6748768472906403,1.9006568398665609,0.0357743933587462
XRP/USDT:USDT,1h,is,band,baseline,282,187,0.6737967914438503,1.574500988321267,0.0357743933587466
XRP/USDT:USDT,1h,oos_warm,off,baseline,127,93,0.5376344086021505,0.1621705067802708,0.0990836751184674
XRP/USDT:USDT,1h,oos_warm,freeze,baseline,168,108,0.5092592592592593,0.1120761213012134,0.1042630742657525
XRP/USDT:USDT,1h,oos_warm,band,baseline,161,98,0.5408163265306123,0.1711393346460743,0.0990836751184681
XRP/USDT:USDT,1h,oos,off,baseline,126,92,0.5434782608695652,0.1748043969966616,0.0990836751184679
XRP/USDT:USDT,1h,oos,freeze,baseline,167,107,0.514018691588785,0.1241654382704715,0.1042630742657525
XRP/USDT:USDT,1h,oos,band,baseline,160,97,0.5463917525773195,0.1838707244857698,0.099083675118468
XRP/USDT:USDT,2h,full,off,baseline,132,101,0.594059405940594,0.4491155349680197,0.0585586672160316
XRP/USDT:USDT,2h,full,freeze,baseline,184,135,0.6,0.6549245194699582,0.053017465727358
XRP/USDT:USDT,2h,full,band,baseline,181,129,0.6201550387596899,0.7191474174870582,0.0523962738183359
XRP/USDT:USDT,2h,is,off,baseline,85,64,0.640625,0.3644396011707936,0.0417902209626145
XRP/USDT:USDT,2h,is,freeze,baseline,119,93,0.6451612903225806,0.5816651547175916,0.0417902209626144
XRP/USDT:USDT,2h,is,band,baseline,120,89,0.651685393258427,0.5700532715675668,0.0417902209626145
XRP/USDT:USDT,2h,oos_warm,off,baseline,47,37,0.5135135135135135,0.0620591294217556,0.0523962738183357
XRP/USDT:USDT,2h,oos_warm,freeze,baseline,65,42,0.5,0.046317872359935,0.0523962738183357
XRP/USDT:USDT,2h,oos_warm,band,baseline,61,40,0.55,0.0949612020301923,0.0523962738183358
XRP/USDT:USDT,2h,oos,off,baseline,46,36,0.5,0.0467916595084281,0.0623683888617287
XRP/USDT:USDT,2h,oos,freeze,baseline,64,41,0.4878048780487805,0.0312766884997387,0.062368388861729
XRP/USDT:USDT,2h,oos,band,baseline,60,39,0.5384615384615384,0.0792207533629332,0.0623683888617289
XRP/USDT:USDT,4h,full,off,baseline,69,58,0.5862068965517241,0.2354777687168118,0.0419799363467984
XRP/USDT:USDT,4h,full,freeze,baseline,95,75,0.5866666666666667,0.3153623329271702,0.0419799363467983
XRP/USDT:USDT,4h,full,band,baseline,89,70,0.5857142857142857,0.2875981795608041,0.0419799363467985
XRP/USDT:USDT,4h,is,off,baseline,38,33,0.696969696969697,0.2347375290027705,0.0206351001902518
XRP/USDT:USDT,4h,is,freeze,baseline,53,44,0.6363636363636364,0.2472511749052817,0.0366564327613557
XRP/USDT:USDT,4h,is,band,baseline,51,43,0.6511627906976745,0.260028488057978,0.0367162875320216
XRP/USDT:USDT,4h,oos_warm,off,baseline,31,25,0.44,0.0005995117963564,0.0419799363467986
XRP/USDT:USDT,4h,oos_warm,freeze,baseline,42,31,0.5161290322580645,0.0546090149220024,0.0419799363467984
XRP/USDT:USDT,4h,oos_warm,band,baseline,38,27,0.4814814814814814,0.0218802128397253,0.0419799363467984
XRP/USDT:USDT,4h,oos,off,baseline,31,25,0.44,0.0005995117963564,0.0419799363467986
XRP/USDT:USDT,4h,oos,freeze,baseline,42,31,0.5161290322580645,0.0546090149220024,0.0419799363467984
XRP/USDT:USDT,4h,oos,band,baseline,38,27,0.4814814814814814,0.0218802128397253,0.0419799363467984
TRX/USDT:USDT,1h,full,off,baseline,330,227,0.6299559471365639,1.0297312523163895,0.0399790540874693
TRX/USDT:USDT,1h,full,freeze,baseline,468,299,0.6086956521739131,1.3006226190755563,0.0538639698938297
TRX/USDT:USDT,1h,full,band,baseline,435,265,0.6150943396226415,1.1719190643106994,0.0434054455374614
TRX/USDT:USDT,1h,is,off,baseline,220,162,0.6666666666666666,0.9194723486066446,0.0377963505000054
TRX/USDT:USDT,1h,is,freeze,baseline,325,215,0.6372093023255814,1.1103276287948771,0.0538639698938297
TRX/USDT:USDT,1h,is,band,baseline,301,191,0.6387434554973822,0.9769447077270372,0.0434054455374614
TRX/USDT:USDT,1h,oos_warm,off,baseline,110,65,0.5384615384615384,0.0574422985513603,0.0399790540874692
TRX/USDT:USDT,1h,oos_warm,freeze,baseline,143,84,0.5357142857142857,0.090173197604085,0.0405494131898474
TRX/USDT:USDT,1h,oos_warm,band,baseline,134,74,0.5540540540540541,0.0986240818074442,0.039979054087469
TRX/USDT:USDT,1h,oos,off,baseline,110,65,0.5384615384615384,0.0574422985513603,0.0399790540874692
TRX/USDT:USDT,1h,oos,freeze,baseline,143,84,0.5357142857142857,0.090173197604085,0.0405494131898474
TRX/USDT:USDT,1h,oos,band,baseline,134,74,0.5540540540540541,0.0986240818074442,0.039979054087469
TRX/USDT:USDT,2h,full,off,baseline,154,123,0.5772357723577236,0.4148815538542105,0.0525909691537521
TRX/USDT:USDT,2h,full,freeze,baseline,226,169,0.6094674556213018,0.8357383812207889,0.0525909691537521
TRX/USDT:USDT,2h,full,band,baseline,212,153,0.5947712418300654,0.6582749000634689,0.0525909691537522
TRX/USDT:USDT,2h,is,off,baseline,99,81,0.5802469135802469,0.2925824859223715,0.0525909691537521
TRX/USDT:USDT,2h,is,freeze,baseline,142,108,0.6018518518518519,0.5007062691326266,0.0525909691537521
TRX/USDT:USDT,2h,is,band,baseline,134,98,0.5918367346938775,0.4015269886684254,0.0525909691537522
