lens,universe,scope,segment,exclude_symbol,num_cells,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_open_notional_ratio,liquidation_events,clamped_entries,skipped_cell_busy,skipped_notional
baseline,19,all,oos_warm,BTC,36,2106,0.5569800569800569,108.40865799915814,0.2050577527442148,9,0.08876322221704137,5.0,0,924,466,16
baseline,19,all,oos_warm,ETH,36,2090,0.5468899521531101,65.6185924782115,0.20664447775417655,9,0.08202072614425272,5.0,0,938,461,14
baseline,19,all,oos_warm,SOL,36,2076,0.5539499036608864,77.7273303859426,0.2148981491075633,9,0.08876322221704135,5.0,0,948,453,16
baseline,19,all,oos_warm,BNB,36,2108,0.5564516129032258,96.83808307982423,0.20839330989937735,9,0.08876319845747925,5.000000000000001,0,946,474,14
baseline,19,all,oos_warm,XRP,36,2092,0.5578393881453155,107.12883771758972,0.2148981491075634,9,0.08680954776389524,5.000000000000001,0,938,451,11
baseline,19,all,oos_warm,TRX,36,2115,0.5555555555555556,102.95303032833351,0.23437706544220105,9,0.08876322221704136,5.0,0,926,472,17
baseline,19,all,oos_warm,DOGE,36,2095,0.556563245823389,99.47088387513878,0.2130737479895214,9,0.08876322221704135,5.0,0,959,459,17
baseline,19,all,oos_warm,LINK,36,2097,0.5565092989985694,94.502904767462,0.19655993189049947,9,0.08716967017631944,5.0,0,960,470,13
baseline,19,all,oos_warm,LTC,36,2102,0.5575642245480494,103.80544066429205,0.20771393096737797,9,0.08876322221704135,5.0,0,953,452,11
baseline,19,all,oos_warm,ADA,36,2082,0.5557156580211335,93.38697448552924,0.20388833811113702,9,0.08876322221704136,5.0,0,956,456,14
baseline,19,all,oos_warm,DOT,36,2092,0.5583173996175909,108.82215071666978,0.20291154978904688,9,0.09066357530793301,5.000000000000001,0,939,457,14
baseline,19,all,oos_warm,BCH,36,2091,0.5538020086083214,82.81806104805703,0.21496947492553897,9,0.08876322221704135,5.0,0,943,464,16
baseline,19,all,oos_warm,ETC,36,2103,0.5539705183071802,87.40991073078733,0.21667752775687063,9,0.08876322221704135,5.000000000000001,0,953,459,15
baseline,19,all,oos_warm,ATOM,36,2102,0.5547098001902949,91.41279824363609,0.2148981491075632,9,0.0902807819118228,5.000000000000001,0,949,464,19
baseline,19,all,oos_warm,XLM,36,2122,0.555607917059378,99.20493822494151,0.21481149336870492,9,0.08924918467953981,5.0,0,956,473,13
baseline,19,all,oos_warm,ALGO,36,2076,0.5544315992292871,94.42578971237774,0.19794529927576673,9,0.08885683992935828,5.0,0,952,444,17
baseline,19,all,oos_warm,XMR,36,2036,0.5476424361493124,57.612538522504366,0.22135808608287108,10,0.08959828675653246,5.0,0,934,452,13
baseline,19,all,oos_warm,THETA,36,2058,0.5549076773566569,80.48817193100659,0.1922529641887139,9,0.08185133433268282,5.000000000000001,0,961,450,12
baseline,19,all,oos_warm,VET,36,2079,0.5598845598845599,110.33574203744061,0.18104762096488985,9,0.08875032111041103,5.0,0,955,465,14
baseline,19,all,full,,38,6126,0.5876591576885406,113580548.5475257,0.2148981491075633,13,0.1205046233821757,5.0,0,2295,1338,31
baseline,19,all,full,BTC,36,5826,0.586508753861998,50377459.62973731,0.20505775274421478,11,0.11021926954825671,5.0,0,2104,1290,23
baseline,19,all,full,ETH,36,5812,0.5855127322780455,38057548.42014688,0.20664447775417683,12,0.12021872171556812,5.000000000000001,0,2150,1272,26
baseline,19,all,full,SOL,36,5774,0.5897125043297541,45214224.398035735,0.21489814910756355,13,0.12050462338217575,5.0,0,2203,1257,30
baseline,19,all,full,BNB,36,5850,0.5868376068376069,45378930.198781356,0.20839330989937746,12,0.11990687597460892,5.000000000000001,0,2165,1294,24
baseline,19,all,full,XRP,36,5831,0.5863488252443835,40512052.48250145,0.21489814910756336,13,0.12050462338217571,5.0,0,2152,1270,19
baseline,19,all,full,TRX,36,5836,0.5846470185058259,40092018.5345492,0.23437706544220072,11,0.11021926954825671,5.0,0,2109,1280,24
baseline,19,all,full,DOGE,36,5835,0.5866323907455013,40580811.10945441,0.21307374798952067,12,0.11918914082554577,5.0,0,2210,1270,26
baseline,19,all,full,LINK,36,5809,0.5889137545188501,48556668.77318598,0.19655993189049942,12,0.12043377902245654,5.000000000000001,0,2188,1278,23
baseline,19,all,full,LTC,36,5842,0.5896953098254023,66890505.0962776,0.20771393096737792,13,0.1205046233821758,5.0,0,2191,1280,17
baseline,19,all,full,ADA,36,5784,0.5897302904564315,57305880.773977175,0.2038883381111367,13,0.12050462338217573,5.0,0,2165,1249,22
