segment,indicator,convention,bucket,order,num_trades,share_of_trades,win_rate,mean_net_r,sum_net_r,share_of_total_net_r,total_trades,zero_duration_trades,negative_raw_trades,negative_raw_min
oos_warm,open_cells_before,interval,7–10,3,2667,0.179680657549013,0.3985751781027372,-0.11896295005774461,-317.2741878040049,0.17703829437457957,14843,2711,2390,-131
oos_warm,open_cells_before,interval,11+,4,296,0.019942060230411642,0.3952702702702703,-0.11560528562625678,-34.21916454537201,0.019094218057783253,14843,2711,2390,-131
oos_warm,open_cells_before,open_end,0–1,0,2114,0.14242403826719666,0.36045411542100286,-0.22724665168072503,-480.3994216530527,0.2680618137159324,14843,2711,2390,-131
oos_warm,open_cells_before,open_end,2–3,1,2874,0.1936266253452806,0.43354210160055673,-0.0418482708145538,-120.27193032102761,0.06711147084655537,14843,2711,2390,-131
oos_warm,open_cells_before,open_end,4–6,2,5060,0.3409014350198747,0.41541501976284584,-0.08553985368507142,-432.8316596464614,0.2415191078275319,14843,2711,2390,-131
oos_warm,open_cells_before,open_end,7–10,3,4078,0.27474230276898204,0.3891613536047082,-0.14174942100303803,-578.0541388503891,0.322552929712196,14843,2711,2390,-131
oos_warm,open_cells_before,open_end,11+,4,717,0.04830559859866604,0.3417015341701534,-0.251833549921024,-180.56465529337422,0.10075467789778188,14843,2711,2390,-131
oos_warm,realized_net_r_today_before,strict,≥ 0R,0,5555,0.374250488445732,0.42502250225022503,-0.07003571060862003,-389.0483724308843,0.21708813049398826,14843,2711,0,0
oos_warm,realized_net_r_today_before,strict,[-3R ~ 0R),1,2295,0.15461833861079297,0.4008714596949891,-0.12450481138512733,-285.7385421288672,0.1594414739052877,14843,2711,0,0
oos_warm,realized_net_r_today_before,strict,[-5R ~ -3R),2,1184,0.07976824092164657,0.40878378378378377,-0.09345018412296305,-110.64501800158826,0.06173967508553362,14843,2711,0,0
oos_warm,realized_net_r_today_before,strict,[-10R ~ -5R),3,2028,0.13663006130836083,0.4181459566074951,-0.06989239060006387,-141.74176813692952,0.07909159281529922,14843,2711,0,0
oos_warm,realized_net_r_today_before,strict,[-20R ~ -10R),4,1732,0.1166880010779492,0.3833718244803695,-0.15652589912456644,-271.1028572837491,0.15127479416396494,14843,2711,0,0
oos_warm,realized_net_r_today_before,strict,< -20R,5,2049,0.13804486963551843,0.32454856027330403,-0.28982198525245906,-593.8452477822887,0.3313643335359249,14843,2711,0,0
oos_warm,realized_net_r_today_before,settled,≥ 0R,0,4991,0.3362527790877855,0.44059306752153876,-0.029738418269954322,-148.42444558534203,0.08282051203659203,14843,2711,0,0
oos_warm,realized_net_r_today_before,settled,[-3R ~ 0R),1,2233,0.15044128545442295,0.4097626511419615,-0.1007441062648912,-224.96158928950206,0.12552806877630718,14843,2711,0,0
oos_warm,realized_net_r_today_before,settled,[-5R ~ -3R),2,1193,0.08037458734757125,0.4107292539815591,-0.09162867955586951,-109.31301471015232,0.060996420197862715,14843,2711,0,0
