symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,retap_mode,position_mode,portfolio_leverage,combine_obs,max_zone_width_atr,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage,arm
ETH/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784072700000,35104,403,0.4913151364764268,0.14769808225943853,0.13637897919435954,7.76700307441026,1.0772257981758109,0.228287841191067,0.544954128440367,1090,594,1.0,B
ETH/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784072700000,35104,304,0.5328947368421053,0.31946669433512725,0.0886784335570553,19.78235146024794,1.2296881678891547,0.33223684210526316,0.44495412844036697,1090,485,1.0,C
ETH/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784072700000,35104,370,0.5378378378378378,0.4695958862586134,0.09020609208983288,22.58909537423156,1.2726292392740242,0.34459459459459457,0.7688073394495413,1090,838,1.0,Cadopt
SOL/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752479100000,70208,892,0.4663677130044843,0.15342908334104086,0.22638281231285834,3.922530801488734,1.0301980418340366,0.16591928251121077,0.5699152542372882,1888,1076,1.0,A
SOL/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752479100000,70208,833,0.47539015606242496,0.2921821806971531,0.1650352298075455,6.640550034565361,1.0575694711363373,0.18847539015606243,0.550357732526142,1817,1000,1.0,B
SOL/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752479100000,70208,647,0.5115919629057187,0.8267622205156943,0.10052538862341655,18.458920332548306,1.1930129354108254,0.2789799072642968,0.45679691799669786,1817,830,1.0,C
SOL/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752479100000,70208,802,0.5099750623441397,0.8813857934774747,0.11109731859732591,15.980828332666006,1.157416943623342,0.27493765586034913,0.7660979636763896,1817,1392,1.0,Cadopt
SOL/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784072700000,35104,423,0.4940898345153664,0.14673481750313858,0.1428552766181801,7.463402098352422,1.0720583557796532,0.23522458628841608,0.5867082035306335,963,565,1.0,A
SOL/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784072700000,35104,394,0.49238578680203043,0.1309042129667816,0.13123653250696365,7.176900226816817,1.0697000135446864,0.23096446700507614,0.5622317596566524,932,524,1.0,B
SOL/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784072700000,35104,307,0.5211726384364821,0.2745229437701075,0.13603993230928468,17.48019304983206,1.2028574623416557,0.30293159609120524,0.4656652360515021,932,434,1.0,C
SOL/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784072700000,35104,379,0.5197889182058048,0.30642565557413765,0.14520948585018373,15.783021578328812,1.1751578306614254,0.2994722955145119,0.7886266094420601,932,735,1.0,Cadopt
BNB/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752479100000,70208,641,0.40873634945397813,-0.46352023246132057,0.5387271854049607,-21.57850817324991,0.7886260254184937,0.0218408736349454,0.5996420047732697,1676,1005,1.0,A
BNB/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752479100000,70208,610,0.4131147540983607,-0.41124952714628843,0.4988595187556756,-18.96968369739384,0.8104181286569121,0.03278688524590164,0.5816263190564867,1611,937,1.0,B
BNB/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752479100000,70208,469,0.4605543710021322,-0.07403136054867555,0.2744115872940307,-2.9423782263617477,0.9605455727653254,0.1513859275053305,0.48851644941030414,1611,787,1.0,C
