timeframe,month,filled,guard_rejected,guard_reject_rate,ceiling_below_guard,ceiling_share_of_rejects,median_stop_width_pct,p10_stop_width_pct,p90_stop_width_pct,median_zone_ceiling_pct,path_observed,path_unfilled,median_path_delta_bps,path_deeper_share,path_guard_reject_rate,engine_guard_reject_rate_on_path_subset
1h,2023-11,41,3,0.07317073170731707,0,0.0,0.8409172915396331,0.4394883494386322,1.8951392760983992,0.9264410355447892,32,9,0.0,0.09375,0.0,0.0
1h,2023-12,20,4,0.2,0,0.0,0.7325379407636364,0.2647503408066779,1.4931158547278307,1.0245977304269163,16,4,0.0,0.3125,0.0625,0.0625
1h,2024-01,51,8,0.1568627450980392,1,0.125,0.7222183877950097,0.2625376640242553,1.6507564402207031,1.031034314823425,44,7,0.0,0.22727272727272727,0.06818181818181818,0.06818181818181818
1h,2024-02,33,3,0.09090909090909091,0,0.0,0.8316558574969231,0.3087440867569033,1.3967469709823104,1.084071238125539,27,6,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
1h,2024-03,30,1,0.03333333333333333,1,1.0,1.2750399631093632,0.3770094869193668,2.338718249566688,1.5346207344310667,27,3,0.0,0.18518518518518517,0.037037037037037035,0.037037037037037035
1h,2024-04,63,5,0.07936507936507936,1,0.2,0.9188087162953394,0.4315448826907748,2.025133279964787,0.9736882608912284,56,7,0.0,0.125,0.07142857142857142,0.05357142857142857
1h,2024-05,70,8,0.11428571428571428,2,0.25,0.6850312069870488,0.2979673123671298,1.5216625288603114,0.8530241716616609,58,12,0.0,0.1896551724137931,0.08620689655172414,0.08620689655172414
1h,2024-06,48,7,0.14583333333333334,3,0.42857142857142855,0.7210021815502086,0.27162413250714,1.070477148809856,0.7901819978921448,42,6,0.0,0.11904761904761904,0.07142857142857142,0.09523809523809523
1h,2024-07,67,8,0.11940298507462686,0,0.0,0.7543031951794719,0.2872856364590145,1.5865896078070492,0.9877866842923456,55,12,0.0,0.2545454545454545,0.03636363636363636,0.03636363636363636
1h,2024-08,62,3,0.04838709677419355,0,0.0,0.9487828383224142,0.5368492358286299,1.6058316591913506,0.9551808317740015,52,10,0.0,0.17307692307692307,0.038461538461538464,0.019230769230769232
