symbol,timeframe,segment,arm,lens,cost,num_candidates,num_trades,win_rate,total_return,max_drawdown
TRX/USDT:USDT,1h,oos,off,baseline,base,110,65,0.5384615384615384,0.0574422985513603,0.0399790540874692
TRX/USDT:USDT,1h,oos,on,baseline,base,143,84,0.5357142857142857,0.090173197604085,0.0405494131898474
TRX/USDT:USDT,2h,full,off,baseline,base,154,123,0.5772357723577236,0.4148815538542105,0.0525909691537521
TRX/USDT:USDT,2h,full,on,baseline,base,226,169,0.6094674556213018,0.8357383812207889,0.0525909691537521
TRX/USDT:USDT,2h,is,off,baseline,base,99,81,0.5802469135802469,0.2925824859223715,0.0525909691537521
TRX/USDT:USDT,2h,is,on,baseline,base,142,108,0.6018518518518519,0.5007062691326266,0.0525909691537521
TRX/USDT:USDT,2h,oos_warm,off,baseline,base,55,42,0.5714285714285714,0.0946160645558857,0.0216291330677984
TRX/USDT:USDT,2h,oos_warm,on,baseline,base,84,61,0.6229508196721312,0.2232496251793514,0.0258700277304531
TRX/USDT:USDT,2h,oos,off,baseline,base,55,42,0.5714285714285714,0.0946160645558857,0.0216291330677984
TRX/USDT:USDT,2h,oos,on,baseline,base,84,61,0.6229508196721312,0.2232496251793514,0.0258700277304531
TRX/USDT:USDT,4h,full,off,baseline,base,86,69,0.6666666666666666,0.4472588997146611,0.0317474922235551
TRX/USDT:USDT,4h,full,on,baseline,base,132,96,0.6666666666666666,0.6384068763498635,0.0435526871350639
TRX/USDT:USDT,4h,is,off,baseline,base,50,44,0.75,0.3838351448718414,0.0317474922235551
TRX/USDT:USDT,4h,is,on,baseline,base,79,60,0.7333333333333333,0.5146095882636555,0.0317474922235551
TRX/USDT:USDT,4h,oos_warm,off,baseline,base,36,25,0.52,0.0458318717210302,0.0226441336220705
TRX/USDT:USDT,4h,oos_warm,on,baseline,base,53,36,0.5555555555555556,0.0817354445960751,0.043552687135064
TRX/USDT:USDT,4h,oos,off,baseline,base,36,25,0.52,0.0458318717210302,0.0226441336220705
TRX/USDT:USDT,4h,oos,on,baseline,base,53,36,0.5555555555555556,0.0817354445960751,0.043552687135064
DOGE/USDT:USDT,1h,full,off,baseline,base,292,232,0.6077586206896551,1.385969872403974,0.0587096883519335
DOGE/USDT:USDT,1h,full,on,baseline,base,431,288,0.5763888888888888,1.3744854241259017,0.077560093811829
DOGE/USDT:USDT,1h,is,off,baseline,base,185,143,0.6713286713286714,1.1806061751480854,0.0488365475585399
DOGE/USDT:USDT,1h,is,on,baseline,base,276,181,0.6243093922651933,1.192959931899475,0.0495491022592393
DOGE/USDT:USDT,1h,oos_warm,off,baseline,base,107,89,0.5056179775280899,0.0941773437112928,0.0587096883519338
DOGE/USDT:USDT,1h,oos_warm,on,baseline,base,155,107,0.4953271028037383,0.0827764746568796,0.0775600938118288
DOGE/USDT:USDT,1h,oos,off,baseline,base,107,89,0.5056179775280899,0.0941773437112928,0.0587096883519338
DOGE/USDT:USDT,1h,oos,on,baseline,base,155,107,0.4953271028037383,0.0827764746568796,0.0775600938118288
DOGE/USDT:USDT,2h,full,off,baseline,base,140,116,0.5948275862068966,0.4829023245505228,0.0708308549632522
DOGE/USDT:USDT,2h,full,on,baseline,base,221,155,0.6064516129032258,0.7405892060354788,0.0538523779938636
DOGE/USDT:USDT,2h,is,off,baseline,base,78,66,0.6515151515151515,0.3776818127714689,0.0316921130680497
DOGE/USDT:USDT,2h,is,on,baseline,base,126,94,0.6595744680851063,0.5713136802297771,0.0377752033378541
DOGE/USDT:USDT,2h,oos_warm,off,baseline,base,62,50,0.52,0.0763750459675322,0.0708308549632525
DOGE/USDT:USDT,2h,oos_warm,on,baseline,base,95,61,0.5245901639344263,0.1077286654698693,0.0538523779938628
DOGE/USDT:USDT,2h,oos,off,baseline,base,56,45,0.4888888888888889,0.0362235404095785,0.0708308549632525
DOGE/USDT:USDT,2h,oos,on,baseline,base,76,53,0.4716981132075472,0.0300618153205869,0.066246886432937
DOGE/USDT:USDT,4h,full,off,baseline,base,82,63,0.5873015873015873,0.2548636693371625,0.0430105079658106
DOGE/USDT:USDT,4h,full,on,baseline,base,134,86,0.627906976744186,0.4674852480785874,0.0310190189510132
DOGE/USDT:USDT,4h,is,off,baseline,base,50,41,0.5853658536585366,0.1722466419028503,0.0430105079658106
DOGE/USDT:USDT,4h,is,on,baseline,base,80,52,0.6153846153846154,0.2607694884038768,0.0310190189510132
DOGE/USDT:USDT,4h,oos_warm,off,baseline,base,32,22,0.5909090909090909,0.070477512565277,0.0268721582411359
DOGE/USDT:USDT,4h,oos_warm,on,baseline,base,54,34,0.6470588235294118,0.1639599955233779,0.0213986518624266
DOGE/USDT:USDT,4h,oos,off,baseline,base,27,19,0.5789473684210527,0.0615387997942552,0.021329680636381
DOGE/USDT:USDT,4h,oos,on,baseline,base,43,29,0.6206896551724138,0.1120766346649879,0.0213296806363808
LINK/USDT:USDT,1h,full,off,baseline,base,329,266,0.5488721804511278,0.891616080816185,0.0605581669363875
LINK/USDT:USDT,1h,full,on,baseline,base,490,335,0.5522388059701493,1.292942022728626,0.0870422912700368
LINK/USDT:USDT,1h,is,off,baseline,base,220,174,0.5804597701149425,0.7202269154666399,0.0605581669363875
LINK/USDT:USDT,1h,is,on,baseline,base,321,223,0.5874439461883408,1.08727662364117,0.0672759517769032
LINK/USDT:USDT,1h,oos_warm,off,baseline,base,109,92,0.4891304347826087,0.0996317194020017,0.05745764199138
LINK/USDT:USDT,1h,oos_warm,on,baseline,base,169,112,0.4821428571428571,0.098532890541687,0.087042291270037
