scope,universe,symbol,timeframe,segment,scenario,leverage,num_trades,total_return,max_drawdown,win_rate,sharpe,peak_concurrency,max_open_notional_ratio,max_concurrent_risk_ratio,clamped_entries,skipped_notional,skipped_zone,liquidations
series,1h,SOL/USDT:USDT,1h,oos,lev_1,1.0,72,-0.04603793952869619,0.08124927434964764,0.4166666666666667,-4.944417541673894,3,1.0,0.025478810684773166,23.0,0.0,16.0,0.0
series,1h,SOL/USDT:USDT,1h,oos,lev_2,2.0,72,-0.04156246143106291,0.08025873533245513,0.4166666666666667,-3.983157322895245,3,2.0,0.030000000000000002,5.0,0.0,16.0,0.0
series,1h,SOL/USDT:USDT,1h,oos,lev_3,3.0,72,-0.04008276360256204,0.07883877931305375,0.4166666666666667,-3.7560206253757267,3,2.910700883282405,0.030000000000000002,0.0,0.0,16.0,0.0
series,4h,SOL/USDT:USDT,4h,is,single,1.0,40,0.03296811339906908,0.098781154169163,0.45,3.304521897999587,1,,,,,,
series,4h,SOL/USDT:USDT,4h,is,lev_1,1.0,41,0.0479251288238982,0.08573182185832999,0.4634146341463415,4.530044552749107,2,0.6462571578850069,0.02,0.0,0.0,4.0,0.0
series,4h,SOL/USDT:USDT,4h,is,lev_2,2.0,41,0.0479251288238982,0.08573182185832999,0.4634146341463415,4.530044552749107,2,0.6462571578850069,0.02,0.0,0.0,4.0,0.0
series,4h,SOL/USDT:USDT,4h,is,lev_3,3.0,41,0.0479251288238982,0.08573182185832999,0.4634146341463415,4.530044552749107,2,0.6462571578850069,0.02,0.0,0.0,4.0,0.0
series,4h,SOL/USDT:USDT,4h,oos,single,1.0,15,0.09489538415049464,0.010699462337579553,0.6666666666666666,23.80090486728001,1,,,,,,
series,4h,SOL/USDT:USDT,4h,oos,lev_1,1.0,17,0.12613165191534645,0.010699462337579553,0.7058823529411765,28.580277814320773,2,1.0,0.02,1.0,0.0,6.0,0.0
series,4h,SOL/USDT:USDT,4h,oos,lev_2,2.0,17,0.1276439123867134,0.010699462337579553,0.7058823529411765,28.793435467688745,2,1.108980269643546,0.019999999999999997,0.0,0.0,6.0,0.0
series,4h,SOL/USDT:USDT,4h,oos,lev_3,3.0,17,0.1276439123867134,0.010699462337579553,0.7058823529411765,28.793435467688745,2,1.108980269643546,0.019999999999999997,0.0,0.0,6.0,0.0
pooled,1h_3sym,ALL,ALL,is,single,1.0,314,0.42137216977290953,0.12415397304428329,0.5095541401273885,10.102609965281786,1,1.0000000000000002,0.010000000000000002,126.0,0.0,52.0,0.0
pooled,1h_3sym,ALL,ALL,is,lev_1,1.0,437,0.3638764932156233,0.18327300194490656,0.4897025171624714,6.846359915184978,4,1.0000000000000002,0.04026263014955475,202.0,35.0,74.0,0.0
pooled,1h_3sym,ALL,ALL,is,lev_2,2.0,464,0.6609793631077148,0.1839994494112392,0.5021551724137931,9.117735131289182,5,2.0000000000000004,0.05016331878444307,75.0,7.0,75.0,0.0
