segment,symbol,timeframe,reason,exit_ms,is_long,stop_price,exit_price,quantity,notional,bar_high,bar_low,bar_range_bp,adverse_bp,charged_slippage_bp
full,DOT/USDT:USDT,15m,stop_loss,1600836720000,True,4.052,4.049974,1354.55469014561,5488.655604470011,4.065,4.043,54.267390231870344,22.211253701874266,4.999999999999659
full,LTC/USDT:USDT,15m,stop_loss,1600845540000,True,43.7,43.67815,212.34327949224237,9279.401313810993,43.93,43.61,73.10943568654336,20.59496567505799,5.000000000000134
full,BNB/USDT:USDT,1h,stop_loss,1600893900000,True,22.86,22.848570000000002,160.07786187201452,3659.379922394252,22.939,22.7,104.73498542912894,69.99125109361336,4.99999999999876
full,ADA/USDT:USDT,15m,stop_loss,1600887900000,True,0.07924,0.07920038000000001,70119.83479766933,5556.2957093673185,0.07959,0.07903,70.60900264783648,26.501766784452528,4.999999999998765
full,BCH/USDT:USDT,15m,stop_loss,1600887840000,True,212.46,212.35377000000003,46.7895937847249,9940.917095502653,212.63,211.6,48.558564929401555,40.47820766261948,4.999999999999166
full,LTC/USDT:USDT,15m,stop_loss,1600887900000,True,43.61,43.588195,208.84849294927716,9107.882777517976,43.84,43.36,110.09174311926697,57.32630130703968,5.000000000000119
full,LTC/USDT:USDT,1h,stop_loss,1600887900000,True,43.61,43.588195,227.50505324100564,9921.495371840256,43.84,43.36,110.09174311926697,57.32630130703968,5.000000000000119
full,BTC/USDT:USDT,1h,stop_loss,1600887900000,True,10353.1,10347.92345,0.9601387855527528,9940.412860706205,10369.29,10264.0,102.0583726589418,86.06117974326565,5.000000000000129
full,LINK/USDT:USDT,15m,stop_loss,1600887900000,True,8.036,8.031982,169.71485946528674,1363.8286106630442,8.059,7.914,181.5563763851494,151.81682429069176,5.000000000000372
full,LTC/USDT:USDT,15m,stop_loss,1600888200000,True,42.92,42.898540000000004,222.8799657656398,9566.008130661261,43.22,42.78,102.32558139534831,32.61882572227413,4.999999999999439
full,DOT/USDT:USDT,15m,stop_loss,1600894080000,True,3.95,3.9480250000000003,1222.401236092144,4828.484882563969,3.987,3.945,105.90015128593106,12.65822784810212,4.999999999999589
full,LTC/USDT:USDT,1h,stop_loss,1600894080000,True,42.74,42.718630000000005,105.40339989206728,4504.941311386956,42.87,42.63,56.14035087719179,25.73701450631713,4.999999999999403
full,SOL/USDT:USDT,15m,stop_loss,1600894200000,True,2.7205,2.71913975,1102.996488500377,3000.7019469652755,2.7418,2.7079,124.41051801016584,46.31501562212808,4.999999999999415
full,BNB/USDT:USDT,15m,stop_loss,1600893900000,True,22.86,22.848570000000002,226.9327407665612,5187.6824539235895,22.939,22.7,104.73498542912894,69.99125109361336,4.99999999999876
full,TRX/USDT:USDT,15m,stop_loss,1600905960000,True,0.02446,0.02444777,406830.0029438878,9951.061872007494,0.02462,0.02442,81.56606851549707,16.353229762877504,4.999999999999384
full,ETH/USDT:USDT,15m,stop_loss,1601010180000,True,343.31,343.138345,28.935239821085425,9933.757182976837,344.1,341.63,72.04001574963986,48.935364539337826,4.999999999999622
full,BCH/USDT:USDT,15m,stop_loss,1601023440000,True,211.2,211.0944,46.92795306228592,9911.183686754786,211.79,211.18,28.843653214175244,0.9469696969688357,4.999999999999114
full,BTC/USDT:USDT,15m,stop_loss,1601024040000,True,10585.23,10579.937385,0.940615567847471,9956.632127246085,10610.72,10565.66,42.55684871540792,18.488025295623913,5.00000000000028
full,TRX/USDT:USDT,15m,stop_loss,1601023500000,True,0.02577,0.025757115000000004,385188.0268661541,9926.295452340792,0.02584,0.02575,34.89048265167661,7.760962359333587,4.999999999998915
full,BNB/USDT:USDT,15m,stop_loss,1601027040000,True,24.033,24.020983500000003,414.46449604617334,9960.825233477684,24.107,24.032,31.15976650948266,0.4160945366792419,4.999999999999116
full,XRP/USDT:USDT,15m,stop_loss,1601109660000,True,0.2406,0.24047970000000002,41262.89888534881,9927.853471814924,0.2409,0.2404,20.777062123415764,8.312551953449947,4.999999999999578
full,BCH/USDT:USDT,15m,stop_loss,1601128680000,True,213.15,213.043425,46.617428767729514,9936.504941841546,213.55,213.09,21.563847740484157,2.814919071076813,4.999999999999639
full,DOT/USDT:USDT,15m,stop_loss,1601124300000,True,4.262,4.259869,1591.0332424185706,6780.983679187947,4.273,4.26,30.46994023204008,4.692632566869498,4.999999999998684
full,DOT/USDT:USDT,1h,stop_loss,1601128140000,True,4.236,4.233882,1135.1502827079091,4808.496597550703,4.249,4.232,40.0896120740466,9.442870632671292,4.99999999999858
full,TRX/USDT:USDT,15m,stop_loss,1601187720000,True,0.02688,0.02686656,369066.09080546384,9920.49652085087,0.02699,0.02682,63.18528154618102,22.321428571428953,4.999999999999993
full,DOGE/USDT:USDT,15m,stop_loss,1601188860000,True,0.002679,0.0026776605000000003,3720878.45177522,9968.233372305815,0.002697,0.002673,89.38547486033576,22.396416573348,4.999999999998797
