symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,retap_mode,position_mode,portfolio_leverage,combine_obs,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage
BTC/USDT:USDT,1d,full,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1689292800000,1783987200000,1097,12,0.6666666666666666,0.07705485172878908,0.010584406012813451,9.762487507795,2.811170390575617,0.6666666666666666,0.75,20,15,1.0
BTC/USDT:USDT,1d,full,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1783987200000,1097,13,0.6153846153846154,0.06574627794132484,0.020587782106668277,7.531394273697588,2.2281987846550226,0.5384615384615384,0.7619047619047619,21,16,1.0
BTC/USDT:USDT,1d,is,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1689292800000,1752364800000,731,2,0.5,0.003874398089592796,0.010584406012813451,2.1600931928650344,1.3660477578904715,0.25,0.8,5,4,1.0
BTC/USDT:USDT,1d,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752364800000,731,2,0.5,0.003874398089592796,0.010584406012813451,2.1600931928650344,1.3660477578904715,0.25,0.8,5,4,1.0
BTC/USDT:USDT,1d,oos,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1752451200000,1783987200000,366,3,0.6666666666666666,0.018370573949438584,0.010195294172499177,8.299801906005692,2.751324552501798,0.6666666666666666,0.6,5,3,1.0
BTC/USDT:USDT,1d,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752451200000,1783987200000,366,4,0.5,0.007678157718264629,0.02058778210666821,2.668053633772656,1.3624859167170886,0.25,0.6666666666666666,6,4,1.0
ETH/USDT:USDT,15m,full,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1689292800000,1784072700000,105312,951,0.49631966351209256,0.4680808668376496,0.31198927760245165,8.99755971987518,1.1138306947217687,0.24079915878023134,0.7834812813585488,2591,2030,1.0
ETH/USDT:USDT,15m,full,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1784072700000,105312,1037,0.5004821600771456,0.43193957160021,0.2829992927952583,8.16203953695428,1.1036315571889208,0.251205400192864,0.7825189263592567,2906,2274,1.0
ETH/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1689292800000,1752479100000,70208,612,0.47875816993464054,0.017436270113237878,0.31198927760245165,1.430519489487342,1.0074871825889657,0.1968954248366013,0.7886029411764706,1632,1287,1.0
ETH/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752479100000,70208,653,0.4793261868300153,-0.03258072592161243,0.2829992927952583,-0.2795002459979519,0.9864340042792336,0.19831546707503828,0.7887402452619844,1794,1415,1.0
ETH/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1752480000000,1784072700000,35104,325,0.5292307692307693,0.4325300748999196,0.09394318615130683,22.586539894180557,1.2620675819721263,0.3230769230769231,0.7705442902881536,937,722,1.0
ETH/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784072700000,35104,370,0.5378378378378378,0.4695958862586134,0.09020609208983288,22.58909537423156,1.2726292392740242,0.34459459459459457,0.7688073394495413,1090,838,1.0
ETH/USDT:USDT,1h,full,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1689292800000,1784070000000,26328,283,0.5477031802120141,0.7521170161558861,0.11626127475075172,17.176756721035787,1.4938017076969645,0.36925795053003535,0.7615606936416185,692,527,1.0
ETH/USDT:USDT,1h,full,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1784070000000,26328,303,0.5643564356435643,0.9941973990714705,0.08348008881978422,19.874373068446182,1.582941838327655,0.41089108910891087,0.7733160621761658,772,597,1.0
ETH/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1689292800000,1752476400000,17552,176,0.5113636363636364,0.20415323388706658,0.11626127475075172,9.471975559696832,1.2401723223140715,0.2784090909090909,0.7652370203160271,443,339,1.0
ETH/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752476400000,17552,194,0.5360824742268041,0.3573112967105293,0.08348008881978422,13.990566572063907,1.3773764563556645,0.3402061855670103,0.7832310838445807,489,383,1.0
