symbol,timeframe,segment,num_candidates,num_trades,win_rate,total_return,max_drawdown,engine_total_return,engine_num_trades
ETH/USDT:USDT,2h,full,158,130,0.5692307692307692,0.4633047185509753,0.04791979977714152,0.4633047185509753,130.0
ETH/USDT:USDT,2h,is,92,78,0.5512820512820513,0.24196140970615743,0.04791979977714152,,
ETH/USDT:USDT,2h,oos,62,48,0.6041666666666666,0.17306339116005712,0.025450523260225743,,
ETH/USDT:USDT,2h,oos_warm,66,52,0.5961538461538461,0.17822076202608095,0.025957895948020285,,
ETH/USDT:USDT,4h,full,84,68,0.6176470588235294,0.36797233243013305,0.04711524117818985,0.36797233243013305,68.0
ETH/USDT:USDT,4h,is,53,43,0.6046511627906976,0.19818600958073077,0.04711524117818985,,
ETH/USDT:USDT,4h,oos,28,22,0.5909090909090909,0.09348490631605255,0.02151911834697082,,
ETH/USDT:USDT,4h,oos_warm,31,25,0.64,0.1417028086555727,0.021519118346970754,,
SOL/USDT:USDT,15m,full,1624,1172,0.5708191126279863,6.03449705418954,0.14523062600629208,6.03449705418954,1172.0
SOL/USDT:USDT,15m,is,1045,768,0.5651041666666666,2.8142495543180885,0.14523062600629208,,
SOL/USDT:USDT,15m,oos,567,392,0.576530612244898,0.7283227093936563,0.04623006200663411,,
SOL/USDT:USDT,15m,oos_warm,579,404,0.5816831683168316,0.8442676479376718,0.04623006200663437,,
SOL/USDT:USDT,1h,full,357,280,0.5464285714285714,0.9917816651373589,0.07808988476747407,0.9917816651373589,280.0
SOL/USDT:USDT,1h,is,233,187,0.5294117647058824,0.4754535649909289,0.0742376085663804,,
SOL/USDT:USDT,1h,oos,117,87,0.5747126436781609,0.3063432069392269,0.04405544250917245,,
SOL/USDT:USDT,1h,oos_warm,124,93,0.5806451612903226,0.3499453404686463,0.04095675731964187,,
SOL/USDT:USDT,2h,full,163,136,0.6176470588235294,0.8527849438520574,0.04495639401679082,0.8527849438520574,136.0
SOL/USDT:USDT,2h,is,110,91,0.6153846153846154,0.5417351648459797,0.03174146590129161,,
SOL/USDT:USDT,2h,oos,47,39,0.6410256410256411,0.18758332941950703,0.03128353459582673,,
SOL/USDT:USDT,2h,oos_warm,53,45,0.6222222222222222,0.20175305467405033,0.044956394016790975,,
SOL/USDT:USDT,4h,full,88,76,0.5789473684210527,0.33646072631085044,0.04127244900984847,0.33646072631085044,76.0
SOL/USDT:USDT,4h,is,44,38,0.6052631578947368,0.18396233963451014,0.021101881258520097,,
SOL/USDT:USDT,4h,oos,37,32,0.53125,0.08700831926875599,0.04127244900984824,,
SOL/USDT:USDT,4h,oos_warm,44,38,0.5526315789473685,0.1288034100167548,0.04127244900984839,,
BNB/USDT:USDT,15m,full,1420,769,0.5591677503250976,1.7640360332813234,0.059936589297976885,1.7640360332813234,769.0
BNB/USDT:USDT,15m,is,976,582,0.570446735395189,1.6053250542107627,0.0594786462587877,,
BNB/USDT:USDT,15m,oos,441,184,0.5217391304347826,0.04618993476823907,0.05082706741810966,,
BNB/USDT:USDT,15m,oos_warm,444,187,0.5240641711229946,0.06091791840486439,0.050827067418110085,,
BNB/USDT:USDT,1h,full,296,220,0.6090909090909091,1.067979652057256,0.07825526785664368,1.067979652057256,220.0
BNB/USDT:USDT,1h,is,190,142,0.6619718309859155,0.8529515079235287,0.046145444488873075,,
BNB/USDT:USDT,1h,oos,106,78,0.5128205128205128,0.11604628788947358,0.0782552678566434,,
BNB/USDT:USDT,1h,oos_warm,106,78,0.5128205128205128,0.11604628788947358,0.0782552678566434,,
BNB/USDT:USDT,2h,full,127,110,0.6,0.4372065549895562,0.050022862428574566,0.4372065549895562,110.0
BNB/USDT:USDT,2h,is,81,72,0.5972222222222222,0.26212835098232046,0.031835560192388465,,
BNB/USDT:USDT,2h,oos,46,38,0.6052631578947368,0.1387166399288717,0.04291082778859928,,
BNB/USDT:USDT,2h,oos_warm,46,38,0.6052631578947368,0.1387166399288717,0.04291082778859928,,
BNB/USDT:USDT,4h,full,71,61,0.6229508196721312,0.3620290124854666,0.03655780647703523,0.3620290124854666,61.0
BNB/USDT:USDT,4h,is,46,40,0.625,0.2251429162465778,0.03637846249162794,,
BNB/USDT:USDT,4h,oos,24,20,0.6,0.09574202653707779,0.036557806477035264,,
BNB/USDT:USDT,4h,oos_warm,25,21,0.6190476190476191,0.11173071681976599,0.036557806477035396,,
XRP/USDT:USDT,15m,full,1422,933,0.602357984994641,6.269027813732596,0.08125888886558749,6.269027813732596,933.0
