scope,unit,offset_ms,dropped,n_stop,n_tp,delta,z,full_delta,sign_kept
btc,usdt,-43200000,ETHUSDT,5307,3822,0.00693831238,6.961684835,0.006190313929,True
btc,usdt,-21600000,ETHUSDT,5307,3822,0.00688571066,7.959219108,0.006656553544,True
btc,usdt,-7200000,ETHUSDT,5307,3822,0.004581126866,7.906179196,0.004517508284,True
btc,usdt,-3600000,ETHUSDT,5307,3822,0.004274336355,8.116037279,0.004230507833,True
btc,usdt,-1800000,ETHUSDT,5307,3822,0.004265554538,8.880242585,0.004166911581,True
btc,usdt,-300000,ETHUSDT,5307,3822,0.002056960334,8.008126376,0.002007448594,True
self,coin,-86400000,LINKUSDT,5283,3885,-0.002108899318,2.139936917,-0.002057375843,True
self,coin,-43200000,LINKUSDT,5283,3885,0.0005804173318,0.8617273562,0.0004108647234,True
self,coin,-21600000,LINKUSDT,5283,3885,0.001331714415,2.486494643,0.001259874314,True
self,coin,-7200000,LINKUSDT,5283,3885,0.0008542544347,2.214715268,0.0006981595297,True
self,coin,-3600000,LINKUSDT,5283,3885,0.0009321054073,2.944346051,0.0008610310438,True
self,coin,-1800000,LINKUSDT,5283,3885,0.0008816693575,3.283985031,0.000782389081,True
self,coin,-300000,LINKUSDT,5283,3885,3.681267976e-05,0.2270029874,-3.166905846e-06,False
self,usdt,-86400000,LINKUSDT,5283,3885,0.02328552574,8.02393307,0.02515943317,True
self,usdt,-43200000,LINKUSDT,5283,3885,0.02676433444,9.065240213,0.0287019601,True
self,usdt,-21600000,LINKUSDT,5283,3885,0.02788690854,9.833949784,0.0297971118,True
self,usdt,-7200000,LINKUSDT,5283,3885,0.0249718978,9.827944717,0.0262820967,True
self,usdt,-3600000,LINKUSDT,5283,3885,0.02490462568,9.86769743,0.02626371154,True
self,usdt,-1800000,LINKUSDT,5283,3885,0.02493160806,9.950521959,0.02629085619,True
self,usdt,-300000,LINKUSDT,5283,3885,0.01353607676,7.996522979,0.01458579518,True
btc,coin,-86400000,LINKUSDT,5283,3885,0.002577026853,3.90629022,0.002515522051,True
btc,coin,-43200000,LINKUSDT,5283,3885,0.001444288064,2.806765027,0.001569918634,True
btc,coin,-21600000,LINKUSDT,5283,3885,0.001926615903,4.447262082,0.001966887277,True
btc,coin,-7200000,LINKUSDT,5283,3885,0.00119344422,4.497375771,0.0011943967,True
btc,coin,-3600000,LINKUSDT,5283,3885,0.0008659507416,4.107770371,0.000919091142,True
btc,coin,-1800000,LINKUSDT,5283,3885,0.0007256579774,4.254445516,0.0007778655766,True
btc,coin,-300000,LINKUSDT,5283,3885,0.0001692888703,1.938395378,0.0001760584683,True
btc,usdt,-86400000,LINKUSDT,5283,3885,0.007600701908,6.585340538,0.007835372468,True
btc,usdt,-43200000,LINKUSDT,5283,3885,0.005599719434,5.760400267,0.006190313929,True
btc,usdt,-21600000,LINKUSDT,5283,3885,0.006271103343,7.510732557,0.006656553544,True
btc,usdt,-7200000,LINKUSDT,5283,3885,0.004318523361,7.744638899,0.004517508284,True
btc,usdt,-3600000,LINKUSDT,5283,3885,0.003972790143,7.895701784,0.004230507833,True
btc,usdt,-1800000,LINKUSDT,5283,3885,0.003874690218,8.492637965,0.004166911581,True
btc,usdt,-300000,LINKUSDT,5283,3885,0.001868954703,7.626148451,0.002007448594,True
self,coin,-86400000,LTCUSDT,5286,3891,-0.0008757366637,0.9425139855,-0.002057375843,True
self,coin,-43200000,LTCUSDT,5286,3891,0.0001317155223,0.1987464576,0.0004108647234,True
self,coin,-21600000,LTCUSDT,5286,3891,0.0009132265798,1.75237355,0.001259874314,True
self,coin,-7200000,LTCUSDT,5286,3891,0.0005880412019,1.52544688,0.0006981595297,True
self,coin,-3600000,LTCUSDT,5286,3891,0.0008230145752,2.608494819,0.0008610310438,True
self,coin,-1800000,LTCUSDT,5286,3891,0.0007433462396,2.769254673,0.000782389081,True
self,coin,-300000,LTCUSDT,5286,3891,-3.379793641e-05,0.2078464923,-3.166905846e-06,True
