lens,scope,arm,month,monthly_return,equity_end,num_exits,btc_buy_hold,num_seeds
baseline,4h,long_only,2026-04,0.06525152563634395,20747.760087503226,6.0,0.1207126229134996,1
baseline,4h,long_only,2026-05,0.019893401170839153,21160.503602320252,12.0,-0.05804685901370987,1
baseline,4h,long_only,2026-06,-0.04098226043929176,20293.29833266339,17.0,-0.17909835204471114,1
baseline,4h,long_only,2026-07,0.014189468919991732,20581.24945863884,1.0,0.10350569003793342,1
baseline,4h,long_short,2024-08,0.06325225914110422,10632.522591411042,5.0,-0.09776683825994315,1
baseline,4h,long_short,2024-09,0.012906988536070862,10769.756438607898,15.0,0.10548630040109597,1
baseline,4h,long_short,2024-10,-0.01809765492427895,10574.84910296344,18.0,0.15705170393966106,1
baseline,4h,long_short,2024-11,0.12286993758783371,11874.180152245319,24.0,0.388220820053097,1
baseline,4h,long_short,2024-12,0.07829399692983308,12803.857176629499,14.0,-0.03820692108474688,1
baseline,4h,long_short,2025-01,-0.018910206684894515,12561.733591055565,15.0,0.08245639447287978,1
baseline,4h,long_short,2025-02,0.0099306913038677,12686.480289589763,11.0,-0.16206179500534768,1
baseline,4h,long_short,2025-03,0.06740220239865269,13541.577001795209,15.0,-0.0405800875968082,1
baseline,4h,long_short,2025-04,0.14249889461821885,15471.23675593852,18.0,0.10578130635366878,1
baseline,4h,long_short,2025-05,0.025432274743153682,15864.705499731925,17.0,0.08422653030958283,1
baseline,4h,long_short,2025-06,0.0818433407529009,17163.125997890904,23.0,0.014245624071230978,1
baseline,4h,long_short,2025-07,-0.015344842094919042,16899.760539598068,11.0,0.09522529319496131,1
baseline,4h,long_short,2025-08,-0.0254205983551401,16470.1585146229,19.0,-0.044473565232134304,1
baseline,4h,long_short,2025-09,0.011258363355389323,16655.585543701385,12.0,0.043969157754659705,1
baseline,4h,long_short,2025-10,0.004041114458601447,16722.89267125851,12.0,-0.07587446563713596,1
baseline,4h,long_short,2025-11,0.022374783050418845,17097.063766753356,13.0,-0.17925581023415404,1
baseline,4h,long_short,2025-12,0.004717439694213343,17177.718134021135,7.0,0.01584618096139212,1
baseline,4h,long_short,2026-01,0.047349217393861,17991.06964427937,21.0,-0.11366216216216218,1
baseline,4h,long_short,2026-02,0.06138284732569321,19095.412725480084,26.0,-0.12991297452928896,1
baseline,4h,long_short,2026-03,-0.0014121815839328589,19068.446535291565,20.0,0.03789353612167301,1
baseline,4h,long_short,2026-04,0.10021088972276027,20979.312528224018,10.0,0.1207126229134996,1
baseline,4h,long_short,2026-05,-0.007347082549182593,20825.175787254055,18.0,-0.05804685901370987,1
baseline,4h,long_short,2026-06,-0.05078935003654683,19767.478644622588,18.0,-0.17909835204471114,1
baseline,4h,long_short,2026-07,0.01582045034286006,20080.20905892339,7.0,0.10350569003793342,1
baseline,all,long_only,2024-08,0.031353948046631386,10313.539480466314,33.0,-0.09776683825994315,1
baseline,all,long_only,2024-09,0.07279850281042766,11064.349713320496,32.0,0.10548630040109597,1
baseline,all,long_only,2024-10,0.2634424720191464,13979.169353081981,84.0,0.15705170393966106,1
baseline,all,long_only,2024-11,0.33789080504853186,18702.602139704617,53.0,0.388220820053097,1
baseline,all,long_only,2024-12,0.21806630228198598,22781.009431361163,62.0,-0.03820692108474688,1
baseline,all,long_only,2025-01,0.029589595793907852,23455.090292212342,51.0,0.08245639447287978,1
baseline,all,long_only,2025-02,0.09576673766354005,25701.307771101285,76.0,-0.16206179500534768,1
baseline,all,long_only,2025-03,0.1418044374241505,29345.86726064725,75.0,-0.0405800875968082,1
baseline,all,long_only,2025-04,0.2712997532055488,37307.39380606364,67.0,0.10578130635366878,1
baseline,all,long_only,2025-05,0.21797353050092183,45439.418147759556,51.0,0.08422653030958283,1
baseline,all,long_only,2025-06,0.07653800467778438,48917.26054650857,72.0,0.014245624071230978,1
baseline,all,long_only,2025-07,0.10638837035277415,54121.48817817367,42.0,0.09522529319496131,1
baseline,all,long_only,2025-08,0.1198337097139821,60607.066881805644,52.0,-0.044473565232134304,1
baseline,all,long_only,2025-09,0.16889630876531614,70843.37676323525,59.0,0.043969157754659705,1
baseline,all,long_only,2025-10,0.12370596590536276,79607.1251137288,56.0,-0.07587446563713596,1
baseline,all,long_only,2025-11,-0.019751667851169552,78034.75161989593,53.0,-0.17925581023415404,1
baseline,all,long_only,2025-12,-0.012924978130615106,77026.1541617808,28.0,0.01584618096139212,1
baseline,all,long_only,2026-01,0.1015570277777389,84848.70143960117,70.0,-0.11366216216216218,1
