symbol,timeframe,support_n,segment,zones_switched,short_fills,wins,stops,unclosed,collapse_r_sum,stop_r_sum,net_r_sum,net_pp_sum,funding_coverage_gap
ETH/USDT:USDT,1h,0,oos_warm,40,76,22,54,0,33.0,-54.0,-29.208675768812686,-37.23399589154556,False
ETH/USDT:USDT,1h,0,oos,37,73,21,52,0,31.5,-52.0,-28.442532820030532,-36.063627419545384,False
ETH/USDT:USDT,1h,1,full,31,50,16,34,0,24.00000000000001,-34.0,-14.87491565316747,-16.892145524674223,False
ETH/USDT:USDT,1h,1,is,20,28,9,19,0,13.500000000000009,-19.0,-8.456474142369077,-7.150926390971348,False
ETH/USDT:USDT,1h,1,oos_warm,11,22,7,15,0,10.500000000000002,-15.0,-6.418441510798399,-9.74121913370287,False
ETH/USDT:USDT,1h,1,oos,11,22,7,15,0,10.500000000000002,-15.0,-6.418441510798399,-9.74121913370287,False
ETH/USDT:USDT,1h,2,full,9,15,2,13,0,3.0,-13.0,-11.207038037148637,-17.640023972351283,False
ETH/USDT:USDT,1h,2,is,6,8,1,7,0,1.5,-7.0,-6.193576069322859,-9.972206025638064,False
ETH/USDT:USDT,1h,2,oos_warm,3,7,1,6,0,1.5,-6.0,-5.013461967825778,-7.667817946713216,False
ETH/USDT:USDT,1h,2,oos,3,7,1,6,0,1.5,-6.0,-5.013461967825778,-7.667817946713216,False
ETH/USDT:USDT,1h,3,full,5,5,1,4,0,1.5,-4.0,-2.8630012814447645,-4.843264075732437,False
ETH/USDT:USDT,1h,3,is,3,3,0,3,0,0.0,-3.0,-3.2120250239710835,-5.107966293279491,False
ETH/USDT:USDT,1h,3,oos_warm,2,2,1,1,0,1.5,-1.0,0.34902374252631874,0.26470221754705436,False
ETH/USDT:USDT,1h,3,oos,2,2,1,1,0,1.5,-1.0,0.34902374252631874,0.26470221754705436,False
SOL/USDT:USDT,2h,0,full,59,138,40,98,0,59.999999999999964,-98.0,-46.16006055259035,-74.81337198490549,False
SOL/USDT:USDT,2h,0,is,38,83,27,56,0,40.49999999999999,-56.0,-19.88252125982309,-35.53304221026536,False
SOL/USDT:USDT,2h,0,oos_warm,21,55,13,42,0,19.49999999999998,-42.0,-26.27753929276724,-39.280329774640194,False
SOL/USDT:USDT,2h,0,oos,17,46,9,37,0,13.49999999999998,-37.0,-26.95842342617316,-42.94780341129388,False
SOL/USDT:USDT,2h,1,full,23,64,16,48,0,23.99999999999998,-48.0,-27.89584801004436,-51.74205691137015,False
SOL/USDT:USDT,2h,1,is,11,29,9,20,0,13.500000000000004,-20.0,-8.017058420528242,-17.621526966904344,False
SOL/USDT:USDT,2h,1,oos_warm,12,35,7,28,0,10.499999999999977,-28.0,-19.878789589516114,-34.120529944465815,False
SOL/USDT:USDT,2h,1,oos,10,30,5,25,0,7.499999999999977,-25.0,-19.70145661501092,-33.570429944465836,False
SOL/USDT:USDT,2h,2,full,13,35,8,27,0,11.999999999999988,-27.0,-17.0997192879045,-30.175455356166744,False
SOL/USDT:USDT,2h,2,is,6,16,5,11,0,7.5,-11.0,-4.325120985031822,-9.798165859539012,False
SOL/USDT:USDT,2h,2,oos_warm,7,19,3,16,0,4.499999999999988,-16.0,-12.774598302872676,-20.377289496627732,False
SOL/USDT:USDT,2h,2,oos,5,16,1,15,0,1.4999999999999876,-15.0,-14.669998918169558,-26.256962362794212,False
SOL/USDT:USDT,2h,3,full,8,19,5,14,0,7.5,-14.0,-7.625031838468538,-10.276752873821785,False
SOL/USDT:USDT,2h,3,is,4,9,4,5,0,6.0,-5.0,0.5138034876047839,1.5835595653605203,False
SOL/USDT:USDT,2h,3,oos_warm,4,10,1,9,0,1.5,-9.0,-8.138835326073323,-11.860312439182305,False
SOL/USDT:USDT,2h,3,oos,3,9,0,9,0,0.0,-9.0,-9.604719031172284,-16.40759208880716,False
SOL/USDT:USDT,1h,0,full,122,222,74,148,0,111.00000000000011,-148.0,-56.08038999019307,-98.55038594760332,False
SOL/USDT:USDT,1h,0,is,75,133,43,90,0,64.50000000000003,-90.0,-34.895514047718706,-76.32218716375856,False
SOL/USDT:USDT,1h,0,oos_warm,47,89,31,58,0,46.500000000000014,-58.0,-21.184875942474378,-22.228198783844757,False
SOL/USDT:USDT,1h,0,oos,44,85,31,54,0,46.500000000000014,-54.0,-16.79053020303573,-17.12678316163817,False
SOL/USDT:USDT,1h,1,full,38,59,25,34,0,37.500000000000014,-34.0,-1.2693820860591911,-7.962021267500078,False
