scope,leverage_mode,multiple,segment,month,monthly_return,equity_end,num_exits
1h,combined,1.0,is,2022-11,0.3299515168126004,153233.52040363988,38
1h,combined,1.0,is,2022-12,0.05207420434957255,161213.03405834342,18
1h,combined,1.0,is,2023-01,0.19500150613146006,192649.81850774275,20
1h,combined,1.0,is,2023-02,-0.013324733991071591,190082.81092269885,13
1h,combined,1.0,is,2023-03,0.13279449549922684,215324.76190225355,30
1h,combined,1.0,is,2023-04,0.1317467785264268,243693.10561984533,21
1h,combined,1.0,is,2023-05,0.03220268750186328,251540.67854647976,8
1h,combined,1.0,is,2023-06,0.07532581338993571,270488.1847586497,25
1h,combined,1.0,is,2023-07,0.018571796071796154,275511.6361658176,13
1h,combined,1.0,is,2023-08,0.04074274293362112,286736.7359333429,16
1h,combined,1.0,is,2023-09,0.054426135207267023,302342.70829214144,32
1h,combined,1.0,is,2023-10,0.11916947951065304,338372.7314731571,21
1h,combined,1.0,is,2023-11,0.04105306480413651,352263.96914627735,24
1h,combined,1.0,is,2023-12,0.08194625840786429,381130.6833897181,8
1h,combined,1.0,is,2024-01,0.009399869762476865,384713.26217606524,15
1h,combined,1.0,is,2024-02,0.058151081102415514,407084.7542860405,14
1h,combined,1.0,is,2024-03,0.10320952799862915,449099.77963134064,19
1h,combined,1.0,is,2024-04,0.19561872588552398,536952.1063182931,37
1h,combined,1.0,is,2024-05,0.2005420161004281,644633.564268735,33
1h,combined,1.0,is,2024-06,-0.009128189464103209,638749.2269591698,21
1h,combined,1.0,is,2024-07,0.07409618302043453,686078.1065840975,28
1h,combined,1.0,is,2024-08,0.012916933312790091,694940.1317342096,18
1h,combined,2.0,is,2020-09,0.04042371981249948,10404.237198124994,3
1h,combined,2.0,is,2020-10,0.10379761413919741,11484.172196228657,27
1h,combined,2.0,is,2020-11,0.05933488548549626,12165.584238387604,13
1h,combined,2.0,is,2020-12,0.4101972465084962,17155.87339514136,30
1h,combined,2.0,is,2021-01,0.5065924039503258,25846.90854025346,39
1h,combined,2.0,is,2021-02,0.304716454337411,33722.88686622284,22
1h,combined,2.0,is,2021-03,0.19726143094897575,40375.11178518438,31
1h,combined,2.0,is,2021-04,0.1801353797293117,47648.097878221975,27
1h,combined,2.0,is,2021-05,0.5685937264395415,74740.50740855622,50
1h,combined,2.0,is,2021-06,0.2434996760445134,92939.79674994221,39
1h,combined,2.0,is,2021-07,0.17897650196084047,109573.83646519836,25
1h,combined,2.0,is,2021-08,0.4234982777463874,155978.16749427415,48
