arm,symbol,timeframe,width_label,width_threshold,guard,total_taps,surviving_taps,survival_share,adopted_point,below_sample_gate
proximal,BTC/USDT:USDT,1h,0.90,0.9,0.002,1741,370,0.2125215393452039,False,False
proximal,BTC/USDT:USDT,1h,0.90,0.9,0.0025,1741,361,0.2073520964962665,False,False
proximal,BTC/USDT:USDT,1h,0.90,0.9,0.003,1741,346,0.1987363584147042,False,False
proximal,BTC/USDT:USDT,1h,0.90,0.9,0.004,1741,276,0.1585295807007467,False,False
proximal,BTC/USDT:USDT,1h,0.90,0.9,0.005,1741,222,0.12751292360712235,False,False
proximal,BTC/USDT:USDT,1h,0.80,0.8,0.0,1741,284,0.16312464101091326,False,False
proximal,BTC/USDT:USDT,1h,0.80,0.8,0.002,1741,280,0.16082711085582999,False,False
proximal,BTC/USDT:USDT,1h,0.80,0.8,0.0025,1741,271,0.1556576680068926,False,False
proximal,BTC/USDT:USDT,1h,0.80,0.8,0.003,1741,260,0.14933946008041354,False,False
proximal,BTC/USDT:USDT,1h,0.80,0.8,0.004,1741,204,0.11717403790924756,False,False
proximal,BTC/USDT:USDT,1h,0.80,0.8,0.005,1741,156,0.08960367604824813,False,False
proximal,BTC/USDT:USDT,1h,0.60,0.6,0.0,1741,121,0.06950028719126938,False,False
proximal,BTC/USDT:USDT,1h,0.60,0.6,0.002,1741,117,0.0672027570361861,False,False
proximal,BTC/USDT:USDT,1h,0.60,0.6,0.0025,1741,110,0.06318207926479034,False,False
proximal,BTC/USDT:USDT,1h,0.60,0.6,0.003,1741,105,0.06031016657093624,False,False
proximal,BTC/USDT:USDT,1h,0.60,0.6,0.004,1741,75,0.0430786904078116,False,False
proximal,BTC/USDT:USDT,1h,0.60,0.6,0.005,1741,54,0.031016657093624354,False,False
mid,BTC/USDT:USDT,1h,off,,0.0,1741,1741,1.0,False,False
mid,BTC/USDT:USDT,1h,off,,0.002,1741,1633,0.9379666858127513,False,False
mid,BTC/USDT:USDT,1h,off,,0.0025,1741,1535,0.8816771970132108,False,False
mid,BTC/USDT:USDT,1h,off,,0.003,1741,1420,0.8156232050545663,False,False
mid,BTC/USDT:USDT,1h,off,,0.004,1741,1225,0.7036186099942562,False,False
mid,BTC/USDT:USDT,1h,off,,0.005,1741,1008,0.5789775990809879,False,False
mid,BTC/USDT:USDT,1h,2.60,2.6,0.0,1741,1466,0.8420448018380241,False,False
mid,BTC/USDT:USDT,1h,2.60,2.6,0.002,1741,1358,0.7800114876507754,False,False
mid,BTC/USDT:USDT,1h,2.60,2.6,0.0025,1741,1261,0.7242963813900057,False,False
mid,BTC/USDT:USDT,1h,2.60,2.6,0.003,1741,1147,0.6588167719701321,False,False
mid,BTC/USDT:USDT,1h,2.60,2.6,0.004,1741,962,0.5525560022975301,False,False
mid,BTC/USDT:USDT,1h,2.60,2.6,0.005,1741,750,0.43078690407811604,False,False
mid,BTC/USDT:USDT,1h,1.80,1.8,0.0,1741,1131,0.6496266513497989,False,False
mid,BTC/USDT:USDT,1h,1.80,1.8,0.002,1741,1023,0.5875933371625502,False,False
mid,BTC/USDT:USDT,1h,1.80,1.8,0.0025,1741,928,0.5330269959793222,False,False
mid,BTC/USDT:USDT,1h,1.80,1.8,0.003,1741,820,0.4709936817920735,False,False
mid,BTC/USDT:USDT,1h,1.80,1.8,0.004,1741,644,0.36990235496840895,False,False
mid,BTC/USDT:USDT,1h,1.80,1.8,0.005,1741,458,0.2630672027570362,False,False
mid,BTC/USDT:USDT,1h,1.55,1.55,0.0,1741,963,0.553130384836301,False,False
mid,BTC/USDT:USDT,1h,1.55,1.55,0.002,1741,856,0.49167145318782307,False,False
mid,BTC/USDT:USDT,1h,1.55,1.55,0.0025,1741,762,0.43767949454336585,False,False
mid,BTC/USDT:USDT,1h,1.55,1.55,0.003,1741,663,0.3808156232050546,False,False
mid,BTC/USDT:USDT,1h,1.55,1.55,0.004,1741,496,0.2848937392303274,False,False
