symbol,timeframe,segment,direction,entry_point,stop_variant,rsi_gate,real_total_return,real_num_trades,real_mean_net_r,real_max_drawdown,returned_n,returned_mean_net_r,never_n,never_mean_net_r,pool_size,fake_zones,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,retap_total_return,retap_num_trades,buy_hold
BNB/USDT:USDT,1h,is,short,B_open,ob,False,-0.2821117542970801,227,-0.14140394286265232,0.3405787572016131,223,-0.16962266356721686,4,1.4317897364168197,3590,7600,-0.06953793926667431,-0.26972270052656894,0.10889022660781301,0.985,200,,,16.06886306615608
BNB/USDT:USDT,1h,is,short,B_open,ob,True,0.0,0,,0.0,0,,0,,0,7600,,,,,0,,,16.06886306615608
BNB/USDT:USDT,1h,is,short,B_open,atr,False,-0.4655318548115468,443,-0.15141844184793263,0.5046210766661974,436,-0.1578908618414041,7,0.25172086060257637,0,7600,,,,,0,,,16.06886306615608
BNB/USDT:USDT,1h,is,short,B_open,atr,True,0.0,0,,0.0,0,,0,,0,7600,,,,,0,,,16.06886306615608
BNB/USDT:USDT,1h,is,both,A_close,ob,False,-0.13854581948407121,286,-0.04454228701298218,0.19331644977650425,275,-0.10064800399574857,11,1.3581006375561793,7596,7600,-0.06016642720646364,-0.2974872080904489,0.2464920539983721,0.72,200,,,16.06886306615608
BNB/USDT:USDT,1h,is,both,A_close,ob,True,0.0,0,,0.0,0,,0,,0,7600,,,,,0,,,16.06886306615608
BNB/USDT:USDT,1h,is,both,A_close,atr,False,-0.6855513248544922,904,-0.14141594048792433,0.7283691662352604,871,-0.16784092957963476,33,0.5560436200841914,0,7600,,,,,0,,,16.06886306615608
BNB/USDT:USDT,1h,is,both,A_close,atr,True,0.0,0,,0.0,0,,0,,0,7600,,,,,0,,,16.06886306615608
BNB/USDT:USDT,1h,is,both,B_open,ob,False,-0.12262714650587914,286,-0.03809576548531476,0.27750360422133136,275,-0.09407575924767357,11,1.3614040785736548,7596,7600,-0.05731281445050276,-0.32049360510497726,0.21890206998561806,0.645,200,,,16.06886306615608
BNB/USDT:USDT,1h,is,both,B_open,ob,True,0.0,0,,0.0,0,,0,,0,7600,,,,,0,,,16.06886306615608
BNB/USDT:USDT,1h,is,both,B_open,atr,False,-0.7021191220280543,917,-0.1451244731404841,0.7345646260489195,884,-0.17124074776066972,33,0.5544751257760037,0,7600,,,,,0,,,16.06886306615608
BNB/USDT:USDT,1h,is,both,B_open,atr,True,0.0,0,,0.0,0,,0,,0,7600,,,,,0,,,16.06886306615608
BNB/USDT:USDT,1h,oos_warm,long,A_close,ob,False,0.1853062418714555,102,0.17852016617918967,0.07742858455551194,100,0.17097614307768796,2,0.5557213212542742,1966,11320,0.02164348285689038,-0.1199962400216702,0.14761465930385656,0.01,200,,,0.11524915844570272
BNB/USDT:USDT,1h,oos_warm,long,A_close,ob,True,0.0,0,,0.0,0,,0,,0,11320,,,,,0,,,0.11524915844570272
BNB/USDT:USDT,1h,oos_warm,long,A_close,atr,False,-0.1856897480639963,237,-0.09769527480206296,0.2581665576388209,233,-0.10203183943831777,4,0.15490961525977517,0,11320,,,,,0,,,0.11524915844570272
BNB/USDT:USDT,1h,oos_warm,long,A_close,atr,True,0.0,0,,0.0,0,,0,,0,11320,,,,,0,,,0.11524915844570272
BNB/USDT:USDT,1h,oos_warm,long,B_open,ob,False,0.2022648487026745,103,0.19067719777900496,0.07742858788389062,101,0.18345473868685158,2,0.5554113819327515,1966,11320,0.03944428660452046,-0.11123858112069047,0.22107435033773382,0.035,200,,,0.11524915844570272
