scope,arm,width_label,width_threshold,guard,reentry,segment,num_cells,num_symbols,num_trades,win_rate,total_return,mean_net_r,max_drawdown,peak_concurrency,liquidation_events,symbols_below_gate,min_symbol_trades,adopted_point,exclude
15m+1h+2h+4h,bollinger,1.15,1.15,0.003,True,oos_warm,44,11,7669,0.4035728256617551,-0.9986036411309116,-0.1302454368528897,0.9990482306057163,10,0,0,294,False,-BNB
15m+1h+2h+4h,bollinger,1.15,1.15,0.003,True,full,44,11,24081,0.4070844234043437,-0.9999999307603196,-0.1074323799665275,0.9999999471555558,13,0,0,1503,False,-BTC
15m+1h+2h+4h,bollinger,1.15,1.15,0.003,True,oos_warm,44,11,7676,0.3996873371547681,-0.999067373672474,-0.1394200151266473,0.9992642950815492,11,0,0,295,False,-BTC
15m+1h+2h+4h,bollinger,1.15,1.15,0.003,True,full,44,11,23421,0.4076683318389479,-0.9999998962103605,-0.1082804041837484,0.99999992132613,13,0,0,1503,False,-DOGE
15m+1h+2h+4h,bollinger,1.15,1.15,0.003,True,oos_warm,44,11,7317,0.4030340303403034,-0.9981177062110068,-0.1338693819034255,0.9985109026324462,10,0,0,295,False,-DOGE
15m+1h+2h+4h,bollinger,1.15,1.15,0.003,True,full,44,11,23371,0.4086688631209619,-0.999999793774918,-0.1059358443514319,0.9999998715929482,13,0,0,1501,False,-DOT
15m+1h+2h+4h,bollinger,1.15,1.15,0.003,True,oos_warm,44,11,7407,0.3994869717834481,-0.998775729140018,-0.1422212522361948,0.9989851139526064,10,0,0,295,False,-DOT
15m+1h+2h+4h,bollinger,1.15,1.15,0.003,True,full,44,11,23747,0.4100307407251442,-0.9999997208125656,-0.1008771101996511,0.99999980921055,13,0,0,1500,False,-ETH
15m+1h+2h+4h,bollinger,1.15,1.15,0.003,True,oos_warm,44,11,7439,0.4012636107003629,-0.9987044851032668,-0.1364359759700358,0.9991066592390442,10,0,0,295,False,-ETH
15m+1h+2h+4h,bollinger,1.15,1.15,0.003,True,full,44,11,23472,0.4090405589638718,-0.9999997704137642,-0.1052110153435943,0.9999998668787384,13,0,0,1502,False,-LINK
15m+1h+2h+4h,bollinger,1.15,1.15,0.003,True,oos_warm,44,11,7409,0.4011337562424079,-0.9985651468128898,-0.1384674964851937,0.9989821013548558,10,0,0,296,False,-LINK
15m+1h+2h+4h,bollinger,1.15,1.15,0.003,True,full,44,11,23475,0.4115441959531416,-0.9999992884707316,-0.0978525559431843,0.9999996265579808,13,0,0,1503,False,-LTC
15m+1h+2h+4h,bollinger,1.15,1.15,0.003,True,oos_warm,44,11,7410,0.4040485829959514,-0.9980411456317017,-0.1304118879270926,0.9986705365247612,11,0,0,294,False,-LTC
15m+1h+2h+4h,bollinger,1.15,1.15,0.003,True,full,44,11,23345,0.4051402869993574,-0.999999968594202,-0.1154604698368435,0.9999999847286132,12,0,0,1502,False,-SOL
15m+1h+2h+4h,bollinger,1.15,1.15,0.003,True,oos_warm,44,11,7319,0.3981418226533679,-0.9992394403136982,-0.1455621061169325,0.9994115942061078,10,0,0,296,False,-SOL
15m+1h+2h+4h,bollinger,1.15,1.15,0.003,True,full,44,11,24264,0.4088773491592483,-0.9999998975347312,-0.1040408490764592,0.9999999440715692,13,0,0,1718,False,-TRX
15m+1h+2h+4h,bollinger,1.15,1.15,0.003,True,oos_warm,44,11,7858,0.4011198778315092,-0.9992283083955448,-0.1367043751321972,0.9994430521254376,10,0,0,488,False,-TRX
15m+1h+2h+4h,bollinger,1.15,1.15,0.003,True,full,44,11,23535,0.4085404716379859,-0.9999998503130164,-0.1055511535408788,0.9999998804300888,13,0,0,1501,False,-XRP
15m+1h+2h+4h,bollinger,1.15,1.15,0.003,True,oos_warm,44,11,7493,0.4018417189376752,-0.9986250400332148,-0.1354711627822513,0.999091071514162,11,0,0,294,False,-XRP
15m+1h+2h+4h,bollinger,1.15,1.15,0.003,True,full,36,9,18861,0.4119611897566407,-0.9999875686099507,-0.0977310765867682,0.9999917101264536,11,0,0,1506,False,-new3
15m+1h+2h+4h,bollinger,1.15,1.15,0.003,True,oos_warm,36,9,5968,0.401642091152815,-0.9950577141778468,-0.1376977323090418,0.9958899646437332,10,0,0,293,False,-new3
15m+1h+2h+4h,proximal,1.55,1.55,0.003,True,full,44,11,46935,0.389922232875253,-0.9999999999999998,-0.1442726881203631,0.9999999999999998,17,0,0,3070,False,-ADA
15m+1h+2h+4h,proximal,1.55,1.55,0.003,True,oos_warm,44,11,14945,0.3921043827367012,-0.9999997272304356,-0.1519486291469322,0.9999997942617942,14,0,0,687,False,-ADA
15m+1h+2h+4h,proximal,1.55,1.55,0.003,True,full,44,11,47031,0.3898279857966022,-1.0,-0.1444509297097138,1.0,18,0,0,3076,False,-BCH
15m+1h+2h+4h,proximal,1.55,1.55,0.003,True,oos_warm,44,11,14928,0.3886655948553054,-0.9999999112615294,-0.160558070510286,0.9999999357023666,13,0,0,679,False,-BCH
15m+1h+2h+4h,proximal,1.55,1.55,0.003,True,full,44,11,47704,0.3900930739560624,-1.0000000000000002,-0.1425529158914796,1.0000000000000002,17,0,0,3079,False,-BNB
15m+1h+2h+4h,proximal,1.55,1.55,0.003,True,oos_warm,44,11,15338,0.3928152301473465,-0.9999998467659904,-0.1475032271399526,0.9999998842989716,14,0,0,686,False,-BNB
15m+1h+2h+4h,proximal,1.55,1.55,0.003,True,full,44,11,47934,0.388325614386448,-1.0,-0.1458150774774176,1.0,18,0,0,3093,False,-BTC
15m+1h+2h+4h,proximal,1.55,1.55,0.003,True,oos_warm,44,11,15419,0.3896491341850963,-0.9999999197186829,-0.1548267450857729,0.999999940020198,14,0,0,685,False,-BTC
15m+1h+2h+4h,proximal,1.55,1.55,0.003,True,full,44,11,46964,0.388659398688357,-1.0,-0.1478783243875605,1.0,17,0,0,3077,False,-DOGE
15m+1h+2h+4h,proximal,1.55,1.55,0.003,True,oos_warm,44,11,14931,0.3910655682807581,-0.9999998026624058,-0.1547907531302512,0.9999998473926504,13,0,0,690,False,-DOGE
15m+1h+2h+4h,proximal,1.55,1.55,0.003,True,full,44,11,46910,0.390620336815178,-1.0,-0.1431162767049581,1.0,18,0,0,3071,False,-DOT
15m+1h+2h+4h,proximal,1.55,1.55,0.003,True,oos_warm,44,11,14952,0.3897806313536651,-0.9999998429439184,-0.1578046737664277,0.9999998696670728,13,0,0,686,False,-DOT
15m+1h+2h+4h,proximal,1.55,1.55,0.003,True,full,44,11,47315,0.390320194441509,-1.0,-0.142069726605672,1.0,19,0,0,3094,False,-ETH
15m+1h+2h+4h,proximal,1.55,1.55,0.003,True,oos_warm,44,11,14955,0.3886994316282179,-0.9999998703991576,-0.1591406520870958,0.9999999001385887,13,0,0,690,False,-ETH
15m+1h+2h+4h,proximal,1.55,1.55,0.003,True,full,44,11,46973,0.3913311902582334,-0.9999999999999998,-0.1414468772836122,0.9999999999999998,19,0,0,3065,False,-LINK
15m+1h+2h+4h,proximal,1.55,1.55,0.003,True,oos_warm,44,11,14974,0.3924802991852544,-0.9999996065284644,-0.1509700676604403,0.9999997001116728,13,0,0,686,False,-LINK
15m+1h+2h+4h,proximal,1.55,1.55,0.003,True,full,44,11,46848,0.3910305669398907,-1.0,-0.1411137276652787,1.0,16,0,0,3084,False,-LTC
