scope,arm,fill,segment,exclude_symbol,num_cells,num_symbols,num_trades,win_rate,total_return,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,liquidation_events
all,long_only,pen_5bp,is,DOGE,24,8,2498,0.6064851881505204,2345.378064730762,0.1343966815028248,17451.16053837583,11,0.107604006024093,0
all,long_only,pen_5bp,oos_warm,DOGE,24,8,1316,0.5524316109422492,16.15913139727232,0.1460955144748504,110.6066223549528,10,0.0997192994084348,0
all,long_only,pen_5bp,oos,DOGE,24,8,1259,0.5432883240667196,10.331539785515597,0.1460955144748503,70.7177069922576,8,0.0803258843167777,0
all,long_short,pen_5bp,full,,27,9,8292,0.5612638687891944,72516.00763293673,0.192835199943047,376051.7149065834,12,0.1079015706927413,0
all,long_short,pen_5bp,is,,27,9,5445,0.5768595041322314,23951.94385390766,0.192835199943047,124209.3967334893,11,0.1079015706927413,0
all,long_short,pen_5bp,oos_warm,,27,9,2837,0.5315474092351075,85.96886389814028,0.2264756196961279,379.5943422673416,12,0.1138395527526505,0
all,long_short,pen_5bp,oos,,27,9,2595,0.5263969171483622,42.90014970553186,0.2258530866627155,189.94714811933508,8,0.0803258843167777,0
all,long_short,pen_5bp,full,ETH,24,8,7354,0.5628229534946968,37679.929881773474,0.1596980928769252,235944.7705541,12,0.1076040060240931,0
all,long_short,pen_5bp,is,ETH,24,8,4876,0.582239540607055,16920.565993212407,0.1596980928769252,105953.4631152584,11,0.1076040060240931,0
all,long_short,pen_5bp,oos_warm,ETH,24,8,2471,0.5240793201133145,33.911929931929905,0.2316550349559631,146.38978141949926,9,0.0891663887022035,0
all,long_short,pen_5bp,oos,ETH,24,8,2278,0.5188762071992976,18.06289034554197,0.2316550349559635,77.97322578797231,8,0.0757202809919194,0
all,long_short,pen_5bp,full,SOL,24,8,7124,0.5607804604154969,39523.75523256977,0.1459281760032482,270843.8926262601,11,0.1079015706927414,0
all,long_short,pen_5bp,is,SOL,24,8,4652,0.577171109200344,10546.250319643628,0.1459281760032482,72270.14417975645,11,0.1079015706927414,0
all,long_short,pen_5bp,oos_warm,SOL,24,8,2464,0.5296266233766234,40.67322469221848,0.2458633164140015,165.4302288175846,11,0.1071125448224817,0
all,long_short,pen_5bp,oos,SOL,24,8,2260,0.5247787610619469,21.646540566654355,0.2458633164140015,88.042986169618,8,0.0803258843167777,0
all,long_short,pen_5bp,full,DOGE,24,8,7429,0.5599676941714901,52836.04076256552,0.2098182490179272,251818.13788776356,11,0.1076040060240931,0
all,long_short,pen_5bp,is,DOGE,24,8,4913,0.5725625890494607,14309.541657549004,0.2098182490179272,68199.70009532568,11,0.1076040060240931,0
all,long_short,pen_5bp,oos_warm,DOGE,24,8,2506,0.5355147645650439,66.0632446613664,0.2168050966096256,304.71259990865605,10,0.0997192994084348,0
all,long_short,pen_5bp,oos,DOGE,24,8,2302,0.5312771503040834,35.11731763646263,0.216643571099395,162.09720629259277,8,0.0803258843167777,0
1h,long_only,pen_5bp,full,,9,9,2393,0.5833681571249477,681.665647973639,0.1015501013703186,6712.604308368305,6,0.05,0
1h,long_only,pen_5bp,is,,9,9,1581,0.6053130929791272,188.20057823204877,0.1015501013703186,1853.278093201949,6,0.05,0
1h,long_only,pen_5bp,oos_warm,,9,9,812,0.5406403940886699,3.1867162308895196,0.112144109428295,28.41626053419335,5,0.05,0
