symbol,timeframe,version,side,total_return,max_drawdown,funding_coverage,num_trades,num_wins,win_rate,avg_r,num_tp_exits,avg_tp_distance_pct,sum_return_pct,realized_pnl,gross_profit,gross_loss,profit_factor
SOL/USDT:USDT,15m,before,short,-0.4983042610128842,0.5030259763978221,1.0,217.0,98.0,0.45161290322580644,-0.17114772395240951,106.0,0.009010368821931005,-0.32525985015511,-2857.1767734775954,5586.981982206338,8444.158755683931,0.6616386716374357
SOL/USDT:USDT,15m,after,long,-0.6487781929335239,0.6509570396112636,1.0,192.0,69.0,0.359375,-0.1538373083385252,72.0,0.019965812138231176,-0.15090025039829968,-1817.6302922287996,5454.956326325318,7272.586618554122,0.750071001204497
SOL/USDT:USDT,15m,after,short,-0.6487781929335239,0.6509570396112636,1.0,217.0,63.0,0.2903225806451613,-0.33151104284312166,65.0,0.016108052156304398,-0.768508143189011,-4670.151637106439,5184.789562262998,9854.941199369443,0.5261106542771398
SOL/USDT:USDT,1h,before,long,-0.29594553994996076,0.30434742700970413,1.0,42.0,18.0,0.42857142857142855,-0.37385824708652515,19.0,0.018272933677967496,-0.18782225048029166,-1390.6353420431446,1104.865628789044,2495.5009708321886,0.4427430170145749
SOL/USDT:USDT,1h,before,short,-0.29594553994996076,0.30434742700970413,1.0,68.0,31.0,0.45588235294117646,-0.27401372342215385,32.0,0.015019712805186453,-0.24391592768491033,-1568.8200574564682,1951.8340339931642,3520.6540914496322,0.554395286584231
SOL/USDT:USDT,1h,after,long,-0.2622263773063647,0.2728372311665799,1.0,42.0,15.0,0.35714285714285715,-0.2625276455247776,16.0,0.03525707106750373,-0.057999091822163486,-1005.1258664284662,1793.4712369700462,2798.597103398513,0.6408465279950876
SOL/USDT:USDT,1h,after,short,-0.2622263773063647,0.2728372311665799,1.0,68.0,22.0,0.3235294117647059,-0.26695293400872866,22.0,0.033264607767626304,-0.208348885268579,-1617.1379066351756,2977.5658809020397,4594.703787537216,0.6480430553496093
SOL/USDT:USDT,2h,before,long,-0.21526601897829595,0.23836480635779372,1.0,26.0,11.0,0.4230769230769231,-0.397425285364212,11.0,0.03479317890369972,-0.1158007410308955,-883.8617619500864,879.5447803741852,1763.4065423242716,0.49877595396402147
SOL/USDT:USDT,2h,before,short,-0.21526601897829595,0.23836480635779372,1.0,33.0,14.0,0.42424242424242425,-0.40436782217834577,15.0,0.01860433289955222,-0.34257352025744786,-1268.7984278328727,1218.480714703604,2487.2791425364767,0.4898849887274905
SOL/USDT:USDT,2h,after,long,-0.30651780449881016,0.3099377379589544,1.0,26.0,8.0,0.3076923076923077,-0.40719755330230484,8.0,0.06750468277940917,-0.06984251270486638,-814.4474768724646,1103.5799602162367,1918.027437088701,0.5753723533232235
